Date Value,Month-Year,Quarter-FY,Annual-FY,# of visitors to branch libraries in millions (Annually FY),PROJECTED: # of visitors to branch libraries (Annually FY),# of visitors to the Central Library in millions (Annually FY),PROJECTED: # of visitors to the Central Library in millions (Annually FY),Circulation of E-media (Monthly),TARGET: Circulation of E-media (Monthly),Library Circulation (Annually FY),TARGET: Library Circulation (Annually FY)
06/30/2009 12:00:00 AM,Jun-9,Q4 FY09,FY 2009,,,,,,,16524292,
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,15144804,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,11.17,,1.5,,,,15337032,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,12.16,,1.66,,,,14983679,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,159549,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,161025,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,140223,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,123993,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,131891,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,153255,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,155063,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,133068,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,151857,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,151820,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,151435,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,12.44,,1.66,,154479,,14857847,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,171332,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,180508,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,171245,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,180297,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,159134,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,178994,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,203037,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,191618,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,209336,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,195307,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,240236,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,12.9,12.8,1.73,1.77,211622,,15086605,
07/31/2014 12:00:00 AM,Jul-14,,,,,,,231678,,,
08/31/2014 12:00:00 AM,Aug-14,,,,,,,205864,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,13.2,,1.8,,,,
