Intersection,Corner Pad,Pad Date Completed,Corner Landing,Landing Date Completed
"SATICOY ST and LURLINE AVE
Los Angeles, CA
(34.20834266400044, -118.5840972689997)",,,SE CORNER,05/02/2014
"SATICOY ST and LURLINE AVE
Los Angeles, CA
(34.20834266400044, -118.5840972689997)",,,NW CORNER,05/02/2014
"SATICOY ST and DE SOTO AVE
Los Angeles, CA
(34.208333807000486, -118.58847697399972)",,,NE CORNER,04/30/2014
"SATICOY ST and DE SOTO AVE
Los Angeles, CA
(34.208333807000486, -118.58847697399972)",,,NW CORNER,04/30/2014
"SATICOY ST and VARIEL AVE
Los Angeles, CA
(34.208333807000486, -118.59286996599968)",,,NE CORNER,04/29/2014
"SATICOY ST and VARIEL AVE
Los Angeles, CA
(34.208333807000486, -118.59286996599968)",,,SW CORNER,04/29/2014
"ALVARADO ST and 12TH ST
Los Angeles, CA
(34.04878232100049, -118.28171600499968)",NW CORNER,05/01/2014,NW CORNER,04/28/2014
"ROSCOE BLVD and VARIEL AVE
Los Angeles, CA
(34.219931835000466, -118.5928876799997)",,,SW CORNER,04/28/2014
"DE SOTO AVE and PARTHENIA ST
Los Angeles, CA
(34.22821297700045, -118.58852568699967)",,,NE CORNER,04/25/2014
"DE SOTO AVE and PARTHENIA ST
Los Angeles, CA
(34.22821297700045, -118.58852568699967)",,,NW CORNER,04/25/2014
"DE SOTO AVE and STRATHERN ST
Los Angeles, CA
(34.21556098600047, -118.58848583199972)",,,SW CORNER,04/24/2014
"DE SOTO AVE and STRATHERN ST
Los Angeles, CA
(34.21556098600047, -118.58848583199972)",,,NE CORNER,04/24/2014
"SHERMAN WAY and VANALDEN AVE
Los Angeles, CA
(34.201031345000445, -118.54912604899971)",,,SW CORNER,04/23/2014
"SHERMAN WAY and LURLINE AVE
Los Angeles, CA
(34.201111057000446, -118.5841371249997)",,,SE CORNER,04/22/2014
"8TH ST and CONCORD ST
Los Angeles, CA
(34.02257051300046, -118.20701744399969)",,,SW CORNER,04/21/2014
"SHERMAN WAY and OSO AVE
Los Angeles, CA
(34.20102248800049, -118.57534671399969)",,,NW CORNER,04/21/2014
"SHERMAN WAY and OAKDALE AVE
Los Angeles, CA
(34.20102248800049, -118.56663601499969)",,,SW CORNER,04/18/2014
"8TH ST and CONCORD ST
Los Angeles, CA
(34.02257051300046, -118.20701744399969)",,,NW CORNER,04/18/2014
"SHERMAN WAY and ENFIELD AVE
Los Angeles, CA
(34.20120405400047, -118.52407891499968)",,,NW CORNER,04/17/2014
"SHERMAN WAY and JAMIESON AVE
Los Angeles, CA
(34.20108005800046, -118.52184699199972)",,,NE CORNER,04/16/2014
"VICTORY BLVD and BIRMINGHAM HIGH SCHOOL WAY
Los Angeles, CA
(34.186630128000445, -118.50548841499972)",,,SE CORNER,04/15/2014
"8TH ST and SPENCE ST
Los Angeles, CA
(34.02052015500044, -118.20241631799968)",NE CORNER,04/24/2014,NE CORNER,04/11/2014
"8TH ST and SPENCE ST
Los Angeles, CA
(34.02052015500044, -118.20241631799968)",SW CORNER,04/16/2014,NE CORNER,04/11/2014
