Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
HEWITT ST,4TH ST,14,0,,0,,1,07/09/2013,1,07/09/2013,1,07/09/2013,"(34.043587090000003, -118.23537570000001)","(34.041795139999998, -118.23506114)"
NORMANDIE AV,88TH PL,8,0,,0,,0,,0,,1,07/24/2013,"(33.957450209999998, -118.30025159)","(33.956865829999998, -118.30025107)"
HOOVER ST,BEVERLY BL,13,1,08/06/2013,0,,0,,0,,2,08/06/2013,"(34.072782449999998, -118.28435998)","(34.070448980000002, -118.28433687)"
VENTURA BL,WILLIS AVE,4,0,,0,,0,,0,,1,08/13/2013,,
VENTURA BL,LINDLEY AV,3,0,,0,,0,,1,08/30/2013,1,08/29/2013,"(34.165436630000002, -118.52726626)","(34.16595444, -118.52891903)"
48TH ST,NORMANDIE AV,8,0,,0,,0,,1,09/19/2013,1,09/19/2013,"(34.000097599999997, -118.30017153)","(34.000084010000002, -118.30234802)"
NORMANDIE AV,42ND PL,9,0,,0,,0,,0,,1,09/24/2013,"(34.006050780000002, -118.30017773)","(34.005513579999999, -118.30017826)"
42ND PL,DENKER AV,8,0,,0,,0,,0,,2,09/25/2013,"(34.006074660000003, -118.30454549)","(34.0060778, -118.30568065999999)"
WESTERN AV,42ND PL,8,0,,0,,0,,0,,4,09/26/2013,"(34.006086699999997, -118.30891367)","(34.005500519999998, -118.30891373)"
52ND ST,3RD AV,8,0,,0,,0,,0,,2,09/27/2013,"(33.995036679999998, -118.3203362)","(33.995029160000001, -118.32142648999999)"
VAN NESS AV,60TH ST,8,0,,0,,0,,0,,2,10/01/2013,"(33.985491519999997, -118.31767155999999)","(33.984398220000003, -118.31767967)"
ZELZAH AV,PLUMMER ST,12,0,,1,10/04/2013,0,,0,,2,10/04/2013,"(34.242688680000001, -118.52324796000001)","(34.243136360000001, -118.52325214)"
FLORENCE AV,CIMARRON ST,8,0,,0,,0,,0,,1,11/20/2013,"(33.974579810000002, -118.31554886000001)","(33.974580539999998, -118.31587562)"
CANTERBURY AV,DEBELL ST,6,0,,0,,0,,0,,1,01/07/2014,"(34.221659899999999, -118.41730348999999)","(34.222941640000002, -118.41756144)"
53RD ST,WADSWORTH AV,9,0,,0,,0,,0,,1,02/06/2014,"(33.994259730000003, -118.26082581999999)","(33.994279800000001, -118.25863148000001)"
WOODLEY AV,PARTHENIA ST,12,0,,0,,0,,0,,2,02/06/2014,"(34.226574530000001, -118.4851468)","(34.228388430000003, -118.48512964)"
MCKINLEY AV,49TH PL,9,0,,0,,0,,0,,1,02/07/2014,,
MCKINLEY AV,45TH ST,9,0,,0,,0,,0,,1,02/11/2014,,
32ND ST,WADSWORTH AV,9,0,,0,,0,,0,,2,03/11/2014,"(34.015238519999997, -118.26044809)","(34.014781110000001, -118.25896693999999)"
32ND ST,WADSWORTH AV,9,0,,0,,0,,0,,2,03/11/2014,"(34.015238519999997, -118.26044809)","(34.014781110000001, -118.25896693999999)"
32ND ST,WADSWORTH AV,9,0,,0,,0,,0,,2,03/11/2014,"(34.015238519999997, -118.26044809)","(34.014781110000001, -118.25896693999999)"
CENTRAL AV,32ND ST,9,0,,0,,0,,0,,2,03/14/2014,"(34.0148473, -118.25651523000001)","(34.014575460000003, -118.25651433)"
42ND ST,WADSWORTH AV,9,0,,0,,0,,0,,1,03/17/2014,"(34.007524340000003, -118.26086626)","(34.007532550000001, -118.25893698)"
R ST,RONAN AV,15,0,,0,,0,,0,,1,04/17/2014,"(33.796431499999997, -118.27329134)","(33.7963831, -118.27423638)"
R ST,RONAN AV,15,0,,0,,0,,0,,0,04/17/2014,"(33.796431499999997, -118.27329134)","(33.7963831, -118.27423638)"
