DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,Domestic,Freight,35703
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,Domestic,Mail,3209
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,International,Freight,46391
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,International,Mail,548
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,Domestic,Freight,36702
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,Domestic,Mail,2845
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,International,Freight,31748
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,International,Mail,971
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,Domestic,Freight,35065
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2551
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,International,Freight,45767
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,International,Mail,564
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,Domestic,Freight,33222
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,Domestic,Mail,2310
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,International,Freight,31394
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,International,Mail,988
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Arrival,Domestic,Freight,41014
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2659
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Arrival,International,Freight,63864
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Arrival,International,Mail,671
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Departure,Domestic,Freight,44584
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Departure,Domestic,Mail,3836
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Departure,International,Freight,35170
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Departure,International,Mail,1053
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Arrival,Domestic,Freight,37802
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2536
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Arrival,International,Freight,56500
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Arrival,International,Mail,547
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Departure,Domestic,Freight,40440
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Departure,Domestic,Mail,2279
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Departure,International,Freight,30295
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Departure,International,Mail,1472
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Arrival,Domestic,Freight,35644
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2217
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Arrival,International,Freight,54068
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Arrival,International,Mail,497
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,Domestic,Freight,40639
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,Domestic,Mail,2178
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,International,Freight,32336
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Departure,International,Mail,954
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,Domestic,Freight,39164
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,Domestic,Mail,2078
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,International,Freight,53983
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Arrival,International,Mail,496
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,Domestic,Freight,41203
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,Domestic,Mail,2165
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,International,Freight,38843
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Departure,International,Mail,938
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,Domestic,Freight,39536
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,Domestic,Mail,1761
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,International,Freight,54352
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Arrival,International,Mail,479
