DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,Domestic,Charter,2457
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,139728
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1538812
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,International,Charter,332
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,International,Commuter,1280
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,742810
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,Domestic,Charter,3450
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,Domestic,Commuter,139021
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1492469
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,International,Charter,558
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,International,Commuter,1125
05/01/2014 12:00:00 AM,01/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,694117
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,Domestic,Charter,549
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,141096
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1385488
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,International,Charter,516
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,International,Commuter,884
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,602784
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,Domestic,Charter,349
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,Domestic,Commuter,136608
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1381873
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,International,Charter,471
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,International,Commuter,1018
05/01/2014 12:00:00 AM,02/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,598519
05/01/2014 12:00:00 AM,03/01/2006 12:00:00 AM,Arrival,Domestic,Charter,1599
