Index,Senior Center Name,Senior Center Address,Location 1
1,Int'l Institute of LA Multipurpose Senior Ctr,"435 S. Boyle Ave, Los Angeles, CA 90033","(34.042180999999999, -118.220138)"
2,Felicia Mahood Multipurpose Senior Ctr,"11338 Santa Monica Blvd., Los Angeles, CA 90025","(34.046094, -118.449701)"
3,Freda Mohr Multipurpose Senior Ctr,"330 N. Fairfax Ave, Los Angeles, CA 90036","(34.077292, -118.361133)"
4,ONEgeneration Senior Enrichment Ctr,"18255 Victory Blvd., Reseda, CA 91335","(34.186906999999998, -118.530763)"
5,PCS Multipurpose Senior Ctr,"5133 S. Crenshaw Blvd., Los Angeles, CA 90043","(33.9959, -118.330923)"
6,West Adams Multipurpose Senior Ctr,"2528 West Blvd., Los Angeles, CA 90016","(34.033503000000003, -118.340820)"
7,Alicia Broadus-Duncan Multipurpose Senior Ctr,"11300 Glenoaks Blvd., Pacoima, CA 91331","(34.276466999999997, -118.413066)"
8,Bernardi Multipurpose Senior Ctr,"6514 Sylmar Ave., Van Nuys, CA 91401","(34.189285, -118.446317)"
9,Southeast Valley Multipurpose Senior Ctr,"5056 Van Nuys Blvd., Sherman Oaks, CA 91403","(34.163415000000001, -118.448375)"
10,Robert M. Wilkinson Multipurpose Senior Ctr,"8956 Vanalden Ave., Northridge, CA 91324","(34.233544, -118.548721)"
11,James Wood Memorial Community Center (SRO),"400 E. 5th St., Los Angeles, CA 90013","(34.044580000000003, -118.245000)"
12,Hollywood Multipurpose Senior Center,"1745 N. Gramercy Pl., Hollywood, CA 90028","(34.103369000000001, -118.312685)"
13,St. Barnabas Multipurpose Senior Ctr,"675 S. Carondelet St., Los Angeles, CA 90057","(34.05953, -118.254584)"
14,Bradley Multipurpose Senior Ctr,"10957 S. Central Ave., Los Angeles, CA 90059","(33.935889000000003, -118.254584)"
15,Theresa Lindsay Multipurpose Senior Ctr,"429 E. 42nd Pl., Los Angeles, CA 90011","(34.007055999999999, -118.265776)"
16,Wilmington Jaycees Foundation Inc.,"1371 N. Eubank Ave., Wilmington, CA 90744","(33.791578999999999, -118.256681)"
