Neighborhood Council Name,Meeting Date,Meeting Location,Room ,Zip Code,Extended Zip Code,Location 1
Arleta,3rd Tuesday,Beachy Elementary School Auditorium,,91331,,"9757 Beachy St
Arleta, CA
(34.24849891500048, -118.43876881899968)"
Arroyo Seco,4th Monday,Ramona Hall,,90065,,"4580 Figeroa
Los Angeles, CA
(33.79726144300048, -118.28290724999971)"
Atwater Village,2nd Thursday,Christ’s Church of Griffith Park,,90039,,"3852 Edenhurst Ave
Los Angeles, CA
(34.12182157500047, -118.26435266699968)"
Bel Air-Beverly Crest,4th Wednesday,Community Magnet School,,90049,,"11301 Bellagio Rd
Los Angeles, CA
(34.08094286300047, -118.46296867499967)"
Boyle Heights,4th Wednesday,Boyle Heights Senior Citizen Center,,90033,,"2839 E 3rd St
Los Angeles, CA
(34.03918561800049, -118.20617927099971)"
CANNDU,4th Thursday,Los Angeles Ascot Public Library,,90003,,"120 W Florence Ave
Los Angeles, CA
(33.974652765000485, -118.27482876999971)"
Canoga Park,4th Wednesday,Canoga Park Community Center,,91303,,"7248 Owensmouth Ave
Canoga Park, CA
(34.20252132100046, -118.60153630199972)"
Central Alameda,2nd Monday,Fred Roberts Recreation Center,,90011,,"4700 Honduras Ave
Los Angeles, CA
(34.000771365000446, -118.24406609999971)"
Central Hollywood,4th Monday,Hollywood Neighborhood City Hall,,90028,,"6501 Fountain Ave
Hollywood, CA
(34.09435748700048, -118.33051970699972)"
Central San Pedro,2nd Tuesday,Port of Los Angeles High School,,90731,,"250 W 5th St
San Pedro, CA
(33.73977724300045, -118.28289578299967)"
Chatsworth,1st Wednesday,Lawrence Middle School,,91311,,"10100 Variel Ave
Chatsworth, CA
(34.25526070900048, -118.59290669499973)"
Coastal San Pedro,3rd Monday,Cabrillo Marina Community Bldg.,,90731,,"Berth 28
San Pedro, CA
(33.73787228600048, -118.28460989399969)"
