Fiscal Year,Activity Type,Asset Type Group,Asset Type,Amount in Thousands
2004,Governmental Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$1111107
2004,Governmental Activities,Restricted,Restricted for Capital Projects,$152433
2004,Governmental Activities,Restricted,Restricted for Debt Service,$176584
2004,Governmental Activities,Restricted,Restricted for Special Purposes,$1229977
2004,Governmental Activities,Unrestricted (Deficit),Unrestricted (Deficit),$-1061469
2004,Business-type Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$8317620
2004,Business-type Activities,Restricted,Restricted for Capital Projects,$135418
2004,Business-type Activities,Restricted,Restricted for Debt Service,$952828
2004,Business-type Activities,Restricted,Restricted for Special Purposes,$815979
2004,Business-type Activities,Unrestricted,Unrestricted,$2153319
2004,Primary Government,Net Investment in Capital Assets,Net Investment in Capital Assets,$9428727
2004,Primary Government,Restricted,Restricted for Capital Projects,$287851
2004,Primary Government,Restricted,Restricted for Debt Service,$1129412
2004,Primary Government,Restricted,Restricted for Special Purposes,$2045956
2004,Primary Government,Unrestricted,Unrestricted,$1091850
2005,Governmental Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$1562198
2005,Governmental Activities,Restricted,Restricted for Capital Projects,$94725
2005,Governmental Activities,Restricted,Restricted for Debt Service,$195334
2005,Governmental Activities,Restricted,Restricted for Special Purposes,$1270095
2005,Governmental Activities,Unrestricted (Deficit),Unrestricted (Deficit),$-1192219
2005,Business-type Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$8405535
2005,Business-type Activities,Restricted,Restricted for Capital Projects,$449970
2005,Business-type Activities,Restricted,Restricted for Debt Service,$917973
2005,Business-type Activities,Restricted,Restricted for Special Purposes,$915466
2005,Business-type Activities,Unrestricted,Unrestricted,$1936039
2005,Primary Government,Net Investment in Capital Assets,Net Investment in Capital Assets,$9967733
2005,Primary Government,Restricted,Restricted for Capital Projects,$544695
2005,Primary Government,Restricted,Restricted for Debt Service,$1113307
2005,Primary Government,Restricted,Restricted for Special Purposes,$2185561
2005,Primary Government,Unrestricted,Unrestricted,$743820
2006,Governmental Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$2946666
2006,Governmental Activities,Restricted,Restricted for Capital Projects,$104715
2006,Governmental Activities,Restricted,Restricted for Debt Service,$231421
2006,Governmental Activities,Restricted,Restricted for Special Purposes,$1419754
2006,Governmental Activities,Unrestricted (Deficit),Unrestricted (Deficit),$-1019029
2006,Business-type Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$8777029
2006,Business-type Activities,Restricted,Restricted for Capital Projects,$163951
2006,Business-type Activities,Restricted,Restricted for Debt Service,$875761
2006,Business-type Activities,Restricted,Restricted for Special Purposes,$1102949
2006,Business-type Activities,Unrestricted,Unrestricted,$2103362
2006,Primary Government,Net Investment in Capital Assets,Net Investment in Capital Assets,$11723695
2006,Primary Government,Restricted,Restricted for Capital Projects,$268666
2006,Primary Government,Restricted,Restricted for Debt Service,$1107182
2006,Primary Government,Restricted,Restricted for Special Purposes,$2522703
2006,Primary Government,Unrestricted,Unrestricted,$1084333
2007,Governmental Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$3189365
2007,Governmental Activities,Restricted,Restricted for Capital Projects,$123082
2007,Governmental Activities,Restricted,Restricted for Debt Service,$237597
2007,Governmental Activities,Restricted,Restricted for Special Purposes,$1582551
2007,Governmental Activities,Unrestricted (Deficit),Unrestricted (Deficit),$-1223123
2007,Business-type Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$8974991
2007,Business-type Activities,Restricted,Restricted for Capital Projects,$178955
2007,Business-type Activities,Restricted,Restricted for Debt Service,$837414
2007,Business-type Activities,Restricted,Restricted for Special Purposes,$1375876
2007,Business-type Activities,Unrestricted,Unrestricted,$2311450
2007,Primary Government,Net Investment in Capital Assets,Net Investment in Capital Assets,$12164356
2007,Primary Government,Restricted,Restricted for Capital Projects,$302037
2007,Primary Government,Restricted,Restricted for Debt Service,$1075011
2007,Primary Government,Restricted,Restricted for Special Purposes,$2958427
2007,Primary Government,Unrestricted,Unrestricted,$1088327
2008,Governmental Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$3415049
2008,Governmental Activities,Restricted,Restricted for Capital Projects,$132583
2008,Governmental Activities,Restricted,Restricted for Debt Service,$209072
2008,Governmental Activities,Restricted,Restricted for Special Purposes,$1736490
2008,Governmental Activities,Unrestricted (Deficit),Unrestricted (Deficit),$-1455537
2008,Business-type Activities,Net Investment in Capital Assets,Net Investment in Capital Assets,$9372493
2008,Business-type Activities,Restricted,Restricted for Capital Projects,$115428
2008,Business-type Activities,Restricted,Restricted for Debt Service,$758318
2008,Business-type Activities,Restricted,Restricted for Special Purposes,$1606749
2008,Business-type Activities,Unrestricted,Unrestricted,$2527916
2008,Primary Government,Net Investment in Capital Assets,Net Investment in Capital Assets,$12787542
2008,Primary Government,Restricted,Restricted for Capital Projects,$248011
2008,Primary Government,Restricted,Restricted for Debt Service,$967390
2008,Primary Government,Restricted,Restricted for Special Purposes,$3343239
2008,Primary Government,Unrestricted,Unrestricted,$1072379
