Fiscal Year,Activity Type,Service,Department,Employees
2004,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,129
2004,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,820
2004,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),139
2004,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,31
2004,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),15
2004,GOVERNMENTAL ACTIVITIES,General Government,Controller,183
2004,GOVERNMENTAL ACTIVITIES,General Government,Council ,108
2004,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,8
2004,GOVERNMENTAL ACTIVITIES,General Government,General Services,1871
2004,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),24
2004,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,764
2004,GOVERNMENTAL ACTIVITIES,General Government,Mayor,74
2004,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),68
2004,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),343
2004,GOVERNMENTAL ACTIVITIES,General Government,Personnel,394
2004,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),39
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,304
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,858
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),14
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,321
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3530
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,3595
2004,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,10212
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),59
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,347
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,969
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),109
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,224
2004,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1318
2004,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),43
2004,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2695
2004,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1524
2004,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,94
2004,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,58
2004,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,1194
2004,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,2053
2004,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,272
2004,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,48
2004,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",37
2004,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,274
2004,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,26
2004,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,408
2004,GOVERNMENTAL ACTIVITIES,Community Development,Planning,323
2004,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3048
2004,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),634
2004,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,197
2004,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8101
2004,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,109
2004,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,84
2005,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,125
2005,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,808
2005,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),137
2005,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,30
2005,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),12
2005,GOVERNMENTAL ACTIVITIES,General Government,Controller,180
2005,GOVERNMENTAL ACTIVITIES,General Government,Council ,108
2005,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,8
2005,GOVERNMENTAL ACTIVITIES,General Government,General Services,1923
2005,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),21
2005,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,748
2005,GOVERNMENTAL ACTIVITIES,General Government,Mayor,66
2005,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),62
2005,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),350
2005,GOVERNMENTAL ACTIVITIES,General Government,Personnel,440
2005,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),39
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,296
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,835
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),14
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,322
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3423
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,3592
2005,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,10213
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),153
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,335
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,950
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,231
2005,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1285
2005,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),43
2005,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2762
2005,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1521
2005,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,74
2005,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,25
2005,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,1138
2005,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1905
2005,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,256
2005,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,42
2005,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",24
2005,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,273
2005,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,23
2005,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,403
2005,GOVERNMENTAL ACTIVITIES,Community Development,Planning,304
2005,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3300
2005,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),659
2005,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,163
2005,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8029
2005,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,110
2005,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,86
2006,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,126
2006,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,963
2006,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),130
2006,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,26
2006,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),12
2006,GOVERNMENTAL ACTIVITIES,General Government,Controller,167
2006,GOVERNMENTAL ACTIVITIES,General Government,Council ,336
2006,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2006,GOVERNMENTAL ACTIVITIES,General Government,General Services,2236
2006,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),16
2006,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,739
2006,GOVERNMENTAL ACTIVITIES,General Government,Mayor,132
2006,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),40
2006,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),351
2006,GOVERNMENTAL ACTIVITIES,General Government,Personnel,478
2006,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),34
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,311
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,864
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),17
