Year,Residential,Commercial,Industrial
1992,1165743,116242,17833
1993,1162104,114929,17220
1994,1147666,114095,16760
1995,1149850,113882,16328
1996,1155349,115087,16192
1997,1165787,115662,16057
1998,1175951,116422,15966
1999,1191701,117442,15829
2000,1204270,119991,15773
2001,1211225,119098,15536
2002,1218210,119806,15229
2003,1223440,119805,14943
2004,1230769,121082,14294
2005,1235921,121796,13984
2006,1241560,122243,13800
2007,1246346,121051,13492
2008,1250470,119656,13091
2009,1248489,118909,12661
2010,1252720,118850,12449
2011,1263531,119818,12268
2012,1273300,120279,12147
