Month-Year,Date,Square Ft. Removed,# of Locations,# of locations requested through 311 & online,% requested through 311 & online,# of requests completed within 24 hrs,% requests completed within 24 hrs,# of requests completed within 24-48 hrs,% requests completed within 24-48 hrs,# of requests completed within 48-72 hrs,% requests completed within 48-72 hrs,# of requests completed within 4-7 days,% requests completed within 4-7 days,# of requests completed within 8-15 days,% requests completed 8-15 days,# of requests completed in over 15 days,% requests completed in over 15 days
Apr-13,04/30/2013 12:00:00 AM,2482193,51867,9036,17.4%,5427,60.1%,1000,11.1%,556,6.2%,1172,13%,725,8%,156,1.7%
May-13,05/31/2013 12:00:00 AM,2151358,30715,8857,28.8%,5011,56.6%,810,9.1%,695,7.8%,1695,19.1%,499,5.6%,147,1.7%
Jun-13,06/30/2013 12:00:00 AM,2037298,42458,8656,20.4%,5184,59.9%,1027,11.9%,655,7.6%,1255,14.5%,347,4%,188,2.2%
Jul-13,07/31/2013 12:00:00 AM,2292272,46096,9434,20.5%,5408,57.3%,993,10.5%,719,7.6%,1764,18.7%,304,3.2%,246,2.6%
Aug-13,08/31/2013 12:00:00 AM,2619763,43061,8752,20.3%,5283,60.4%,790,9%,531,6.1%,1487,17%,489,5.6%,172,2%
Sep-13,09/30/2013 12:00:00 AM,2524054,44253,7814,17.7%,3816,48.8%,2574,32.9%,552,7.1%,686,8.8%,113,1.4%,73,0.9%
Oct-13,10/31/2013 12:00:00 AM,2363098,42046,7422,17.7%,4055,54.6%,2466,33.2%,409,5.5%,405,5.5%,67,0.9%,20,0.3%
Nov-13,11/30/2013 12:00:00 AM,2497051,42043,6983,16.6%,4406,63.1%,1027,14.7%,597,8.5%,726,10.4%,212,3%,15,0.2%
Dec-13,12/31/2013 12:00:00 AM,2675894,41148,7399,18%,4950,66.9%,957,12.9%,566,7.6%,773,10.4%,143,1.9%,10,0.1%
Jan-14,01/31/2013 12:00:00 AM,3097760,42924,8990,20.9%,5895,65.6%,1072,11.9%,636,7.1%,934,10.4%,435,4.8%,18,0.2%
Feb-14,02/28/2013 12:00:00 AM,3099632,42043,7590,18.1%,5592,73.7%,710,9.4%,432,5.7%,616,8.1%,231,3%,9,0.1%
Mar-14,03/31/2013 12:00:00 AM,3409275,48924,9093,18.6%,6065,66.7%,1091,12%,627,6.9%,907,10%,385,4.2%,18,0.2%
Apr-14,04/30/2013 12:00:00 AM,2898525,51106,9920,19.4%,6679,67.3%,1054,10.6%,690,7%,1174,11.8%,318,3.2%,5,0.1%
