DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Freight,18721
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Mail,764
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,International,Freight,1957
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Freight,18590
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Mail,470
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,International,Freight,799
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Freight,17600
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Mail,628
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,International,Freight,1803
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Freight,17224
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Mail,419
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,International,Freight,769
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Freight,18040
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1081
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,International,Freight,1976
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Freight,17527
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Mail,435
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,International,Freight,852
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Freight,18862
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Mail,768
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,International,Freight,2346
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Freight,17661
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Mail,612
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,International,Freight,1005
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Freight,18328
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Mail,770
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,International,Freight,1775
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Freight,17878
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Mail,538
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,International,Freight,929
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Freight,17820
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Mail,897
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,International,Freight,1723
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Freight,16663
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Mail,434
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,International,Freight,922
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Freight,18663
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1102
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,International,Freight,1986
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Freight,18494
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Mail,452
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,International,Freight,986
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Freight,18640
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Mail,846
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,International,Freight,1850
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Freight,17686
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Mail,496
