DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Arrival,Domestic,13
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Departure,Domestic,10
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,209
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Commuter,Departure,Domestic,209
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3408
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Arrival,International,32
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3416
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Charter,Arrival,Domestic,12
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Charter,Departure,Domestic,13
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,166
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Commuter,Departure,Domestic,166
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3226
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Scheduled,Arrival,International,29
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3220
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Scheduled,Departure,International,29
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Charter,Arrival,Domestic,16
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Charter,Departure,Domestic,13
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,224
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Commuter,Departure,Domestic,224
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3408
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Scheduled,Arrival,International,29
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3404
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Scheduled,Departure,International,29
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Charter,Arrival,Domestic,7
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Charter,Departure,Domestic,7
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,146
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Commuter,Departure,Domestic,146
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3217
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Scheduled,Arrival,International,30
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3222
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Charter,Arrival,Domestic,15
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Charter,Departure,Domestic,15
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,208
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Commuter,Departure,Domestic,208
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3181
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Scheduled,Arrival,International,31
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3180
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Charter,Arrival,Domestic,33
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Charter,Departure,Domestic,32
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,151
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Commuter,Departure,Domestic,151
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3115
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Scheduled,Arrival,International,30
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3114
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Charter,Arrival,Domestic,23
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Charter,Departure,Domestic,22
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,146
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Commuter,Departure,Domestic,146
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3185
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Scheduled,Arrival,International,30
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3185
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Charter,Arrival,Domestic,27
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Charter,Departure,Domestic,29
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,157
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Commuter,Departure,Domestic,157
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,3103
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Scheduled,Arrival,International,31
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,3100
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Charter,Arrival,Domestic,13
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Charter,Departure,Domestic,12
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,226
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Commuter,Departure,Domestic,226
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,2184
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Scheduled,Arrival,International,27
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,2189
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Scheduled,Departure,International,27
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Charter,Arrival,Domestic,8
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Charter,Departure,Domestic,6
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,236
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Commuter,Departure,Domestic,236
