DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Charter,1331
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,7932
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,253445
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,International,Charter,171
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,3099
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Charter,397
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Commuter,8060
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,252220
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,International,Charter,265
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,3279
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Charter,642
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,6398
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,250550
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,International,Charter,51
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2682
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Charter,639
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Commuter,6464
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,249979
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2465
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Charter,688
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,9238
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,291029
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,International,Charter,48
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,3844
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Charter,612
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Commuter,9586
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,288104
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,3844
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Charter,290
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,5353
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,266964
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2591
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Charter,225
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Commuter,5723
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,270951
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2330
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Charter,622
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,9278
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,275979
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2409
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Charter,276
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Commuter,9370
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,274991
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2482
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Charter,487
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,6482
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,278706
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,1969
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Charter,431
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Commuter,6657
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,281863
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2641
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Charter,811
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,6037
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,277361
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2669
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Charter,889
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Commuter,6114
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,277816
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,2798
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Charter,1350
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,7106
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,274416
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,2620
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Charter,1709
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Commuter,6764
