DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,International Terminal,Arrival,International,3028
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,108
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Misc. Terminal,Arrival,International,242
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,72
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Misc. Terminal,Departure,International,265
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,90747
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,88040
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Terminal 2,Departure,International,3279
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,171853
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,172565
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,International Terminal,Arrival,International,2682
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,426
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Misc. Terminal,Arrival,International,51
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,424
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,90297
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,90262
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Terminal 2,Departure,International,2465
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,166867
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,166396
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,International Terminal,Arrival,International,3844
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,244
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Misc. Terminal,Arrival,International,48
