Description,Issue Date,Maturity Date,Issue Amount,Interest Rate,Outstanding Principal,Outstanding Interest,Type
MICLA 2007-A,08/08/2007,08/01/2014,$106900000.00,3.625%-5.000%,$17435000.00,$399368.75,City Bond Obligations
2004-A MIDTOWN,06/30/2004,08/01/2024,$7000000.00,,$6486000.00,$3002357.30,City Bond Obligations
"GENERAL OBLIGATION BOND, 2009-A",08/18/2009,09/01/2023,$123550000.00,1.500%-4.000%,$88250000.00,$16690281.25,City Bond Obligations
MICLA - AW,06/17/2003,06/01/2033,$36220000.00,2.000%-4.250%,$27335000.00,$14982850.00,City Bond Obligations
"JUDGEMENT OBLIGATION BOND, 2010-A",06/29/2010,06/01/2020,$50875000.00,4.000%-5.000%,$33310000.00,$5649250.00,City Bond Obligations
GENERAL OBLIGATION BOND 2006-A,08/30/2006,09/01/2026,$71023000.00,4%-5%,$45630000.00,$13853531.25,City Bond Obligations
"GENERAL OBLIGATION BOND, 2009-B",08/18/2009,09/01/2029,$52950000.00,5.500%-5.650%,$52950000.00,$38435081.25,City Bond Obligations
"WASTEWATER SYSTEM, 2009-A REF",03/26/2009,06/01/2039,$454785000.00,1.60%-5.75%,$365720000.00,$251592518.84,City Bond Obligations
GENERAL OBLIGATION BOND 2005-B REF,08/16/2005,09/01/2020,$73080000.00,3.000%-5.000%,$72275000.00,$9965625.00,City Bond Obligations
MICLA - AT REF O,04/30/2002,06/01/2020,$30305000.00,3.000%-5.500%,$28520000.00,$6406135.00,City Bond Obligations
SOLID WASTE RESOURCE Refunding 2013-B,02/12/2013,02/01/2029,$78780000.00,2.000%-5.000%,$66600000.00,$10746962.50,City Bond Obligations
SOLID WASTE RESOURCE 2013-A,02/12/2013,02/01/2027,$73665000.00,2.000%-5.000%,$67665000.00,$16495900.00,City Bond Obligations
MICLA 2011-A,10/26/2011,10/01/2028,$11920000.00,4.26%,$9990000.00,$3338552.34,City Bond Obligations
"WASTEWATER SYSTEM, Sub 2013-A REF",05/23/2013,06/01/2035,$349505000.00,2.000%-5.000%,$336720000.00,$215363200.00,City Bond Obligations
CONVENTION CENTER 1998 SERIES A,04/14/1998,08/15/2024,$45580000.00,6.500%-7.125%,$29125000.00,$12782809.46,City Bond Obligations
MICLA 2012-A,05/10/2012,03/01/2022,$92635000.00,4.000%-5.000%,$80625000.00,$18998550.00,City Bond Obligations
MICLA 2009-D,12/10/2009,09/01/2039,$21300000.00,6.490%-7.757%,$19695000.00,$23280967.73,City Bond Obligations
LANDSCAPING & LIGHTING 2002 SERIES,07/11/2002,03/01/2022,$19630000.00,3.750%-5.000%,$9825000.00,$2301280.00,City Bond Obligations
2004-A MIDTOWN & CHESTERFIELD,06/30/2004,08/01/2016,$4700000.00,,$1110000.00,$69635.00,City Bond Obligations
MICLA 2007-B1,08/08/2007,08/01/2037,$169050000.00,5.000%-5.000%,$162550000.00,$127972012.50,City Bond Obligations
SOLID WASTE RESOURCE 2009-A SERIES,12/23/2009,02/01/2022,$65020000.00,2.000%-5.000%,$50335000.00,$11830800.00,City Bond Obligations
GENERAL OBLIGATION BOND 1998-A REF,09/01/1998,09/01/2015,$119990000.00,4.000%-5.250%,$21440000.00,$1120612.50,City Bond Obligations
"WASTEWATER SYSTEM, 2005-A REF",12/13/2005,06/01/2035,$300655000.00,4.000%-5.000%,$52455000.00,$44650125.00,City Bond Obligations
"GENERAL OBLIGATION BOND, 2011-B",07/28/2011,09/01/2023,$259660000.00,2.000% - 5.000%,$253250000.00,$62555300.00,City Bond Obligations
MICLA - AK,05/10/1999,04/01/2029,$43210000.00,5.800%-7.250%,$32370000.00,$21778922.50,City Bond Obligations
SOLID WASTE RESOURCE 2006-A SERIES,09/26/2006,02/01/2024,$58370000.00,3.750%~4.500%,$44770000.00,$11074793.82,City Bond Obligations
"WASTEWATER SYSTEM, Sub 2012-D REF",12/18/2012,06/01/2032,$280860000.00,Variable Rates,$280860000.00,$179099835.72,City Bond Obligations
MICLA 2010-C,11/23/2010,11/01/2040,$18170000.00,1.647%-7.842%,$17495000.00,$24034223.13,City Bond Obligations
MICLA 2012-B,05/10/2012,03/01/2042,$33975000.00,4.000%-5.000%,$32485000.00,$26040820.00,City Bond Obligations
PLAYA VISTA - PHASE I,04/03/2003,09/01/2031,$135000000.00,2.000%-4.750%,$119100000.00,$60908348.00,City Bond Obligations
"JUDGEMENT OBLIGATION BOND, 2009-A",06/30/2009,06/01/2019,$20600000.00,2.00%-5.00%,$11265000.00,$1417175.00,City Bond Obligations
GENERAL OBLIGATION BOND 2002-B REF,08/20/2002,09/01/2014,$79055000.00,2.000%-5.000%,$7430000.00,$185750.00,City Bond Obligations
GENERAL OBLIGATION BOND 2005-A,08/16/2005,09/01/2005,$126800000.00,3.000%-5.000%,$12680000.00,$507200.00,City Bond Obligations
GENERAL OBLIGATION BOND 2002-A,08/20/2002,09/01/2022,$262200000.00,2.500%-5.250%,$13110000.00,$344138.00,City Bond Obligations
MICLA 2010-B,11/23/2010,11/01/2020,$49315000.00,1.647%-6.165%,$36575000.00,$7633742.03,City Bond Obligations
MICLA 2009-B,04/23/2009,04/01/2039,$52065000.00,3.00%-5.50%,$47325000.00,$39968262.50,City Bond Obligations
"GENERAL OBLIGATION BOND, 2011-A",07/28/2011,09/01/2031,$117000000.00,1.500% - 5.000%,$105300000.00,$46010250.00,City Bond Obligations
"WASTEWATER SYSTEM, Sub 2012-B REF",05/30/2012,06/01/2024,$253880000.00,2.000%-5.000%,$252510000.00,$154144975.00,City Bond Obligations
