Fiscal Year,Activity Type,Obligation Type,Amount
2004,Governmental Activities,General Obligation Bonds,1158863
2005,Governmental Activities,General Obligation Bonds,1451359
2006,Governmental Activities,General Obligation Bonds,1480010
2007,Governmental Activities,General Obligation Bonds,1446530
2008,Governmental Activities,General Obligation Bonds,1336040
2009,Governmental Activities,General Obligation Bonds,1331103
2010,Governmental Activities,General Obligation Bonds,1404320
2011,Governmental Activities,General Obligation Bonds,1288707
2012,Governmental Activities,General Obligation Bonds,1288674
2013,Governmental Activities,General Obligation Bonds,1165924
2004,Governmental Activities,Judgment Obligation Bonds,34795
2005,Governmental Activities,Judgment Obligation Bonds,28140
2006,Governmental Activities,Judgment Obligation Bonds,21485
2007,Governmental Activities,Judgment Obligation Bonds,15340
2008,Governmental Activities,Judgment Obligation Bonds,9195
2009,Governmental Activities,Judgment Obligation Bonds,26219
2010,Governmental Activities,Judgment Obligation Bonds,74279
2011,Governmental Activities,Judgment Obligation Bonds,66891
2012,Governmental Activities,Judgment Obligation Bonds,60379
2013,Governmental Activities,Judgment Obligation Bonds,53079
2004,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,981485
2005,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,865712
2006,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,750353
2007,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1115610
2008,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1336353
2009,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1503277
2010,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1516417
2011,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1521095
2012,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1571911
2013,Governmental Activities,Certificates of Participation and Lease Revenue Bonds,1456723
2004,Governmental Activities,Special Assessment Bonds,35650
2005,Governmental Activities,Special Assessment Bonds,34160
2006,Governmental Activities,Special Assessment Bonds,32595
2007,Governmental Activities,Special Assessment Bonds,31025
2008,Governmental Activities,Special Assessment Bonds,29390
2009,Governmental Activities,Special Assessment Bonds,27685
2010,Governmental Activities,Special Assessment Bonds,25910
2011,Governmental Activities,Special Assessment Bonds,24095
2012,Governmental Activities,Special Assessment Bonds,22210
2013,Governmental Activities,Special Assessment Bonds,20240
2004,Governmental Activities,Revenue Bonds,929266
2005,Governmental Activities,Revenue Bonds,918523
2006,Governmental Activities,Revenue Bonds,954701
2007,Governmental Activities,Revenue Bonds,973525
2008,Governmental Activities,Revenue Bonds,930449
2009,Governmental Activities,Revenue Bonds,894574
2010,Governmental Activities,Revenue Bonds,910533
2011,Governmental Activities,Revenue Bonds,851323
2012,Governmental Activities,Revenue Bonds,788731
2013,Governmental Activities,Revenue Bonds,793466
2004,Governmental Activities,Notes Payable,36373
2005,Governmental Activities,Notes Payable,52973
2006,Governmental Activities,Notes Payable,148000
2007,Governmental Activities,Notes Payable,176000
2008,Governmental Activities,Notes Payable,200000
2009,Governmental Activities,Notes Payable,107735
2010,Governmental Activities,Notes Payable,152630
2011,Governmental Activities,Notes Payable,206173
2012,Governmental Activities,Notes Payable,141197
2013,Governmental Activities,Notes Payable,184197
2004,Governmental Activities,HUD Loan,126079
2005,Governmental Activities,HUD Loan,135903
2006,Governmental Activities,HUD Loan,132953
2007,Governmental Activities,HUD Loan,129657
2008,Governmental Activities,HUD Loan,76055
2009,Governmental Activities,HUD Loan,98035
2010,Governmental Activities,HUD Loan,156276
2011,Governmental Activities,HUD Loan,157781
2012,Governmental Activities,HUD Loan,204395
2013,Governmental Activities,HUD Loan,198600
2004,Business-Type Activities,Revenue Bonds,7967082
2005,Business-Type Activities,Revenue Bonds,8242961
2006,Business-Type Activities,Revenue Bonds,9542085
2007,Business-Type Activities,Revenue Bonds,9617666
2008,Business-Type Activities,Revenue Bonds,9930796
2009,Business-Type Activities,Revenue Bonds,11563845
2010,Business-Type Activities,Revenue Bonds,14186991
2011,Business-Type Activities,Revenue Bonds,16762101
2012,Business-Type Activities,Revenue Bonds,16517924
2013,Business-Type Activities,Revenue Bonds,18252193
2004,Business-Type Activities,Commercial Paper,266095
2005,Business-Type Activities,Commercial Paper,366561
2006,Business-Type Activities,Commercial Paper,313561
2007,Business-Type Activities,Commercial Paper,498745
2008,Business-Type Activities,Commercial Paper,810328
2009,Business-Type Activities,Commercial Paper,446989
2010,Business-Type Activities,Commercial Paper,647116
2011,Business-Type Activities,Commercial Paper,415012
2012,Business-Type Activities,Commercial Paper,462199
