REPORT_NAME, DIST_TYPE, ITEM_DESC,Location 1
REPLACE_CABLE,C,2.064 miles replaced                                                                                                                                 ,"1015 STRADELLA RD, WEST LA
(34.08894813800049, -118.45179209499969)"
REPLACE_CABLE,C,0.083 miles replaced                                                                                                                                   ,"10224 BRIARWOOD, WEST LA
(34.11638750400044, -118.44384875099968)"
REPLACE_CABLE,C,1.626 miles replaced                                                                                                                                 ,"11051 TAMPA AV, NORTHRIDGE
(34.22048095900044, -118.55350575499972)"
REPLACE_CABLE,C,1.218 miles replaced                                                                                                                   ,"11800 MOORPARK ST UNIT: 800-FT, VAN NUYS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,C,0.000 miles replaced                                                                                                                                     ,"12745 ARROYO, VAN NUYS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,C,0.025 miles replaced                                                                                                                                    ,"13337 BEACH AV, WEST LA
(33.992075430000455, -118.44282186799973)"
REPLACE_CABLE,C,0.474 miles replaced                                                                                                ,"141 NEPTUNE AV &amp; HARRY BRIDGES BL UNIT: 1546-FT, WILMINGTON
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,C,0.045 miles replaced                                                                                                                     ,"15055 OXNARD ST UNIT: 240-FT, VAN NUYS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,C,0.836 miles replaced                                                                                                                                 ,"1600 E 7TH ST, LOS ANGELES
(34.03367307800045, -118.23716217699968)"
REPLACE_CABLE,C,0.029 miles replaced                                                                                                                               ,"17929 CASTELLAMMARE, WEST LA
(34.04282382600047, -118.56551011699969)"
REPLACE_CABLE,C,1.123 miles replaced                                                                                                                                        ,"4120 OLYMPIC, PALMS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,21.175 miles planned to be replaced                                                                                                                         ,"1078 GENESEE, PALMS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,0.167 miles planned to be replaced                                                                                                                ,"1123 MAYBROOK DR, LOS ANGELES
(34.09098310300044, -118.42991891099967)"
REPLACE_CABLE,X,7.698 miles planned to be replaced                                                                                                                 ,"11300 DONA LISA DR, VAN NUYS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,16.034 miles planned to be replaced                                                                                                              ,"11TH ST &amp; HILL ST, LOS ANGELES
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,3.888 miles planned to be replaced                                                                                                        ,"12124 WILSHIRE BL UNIT: 675', WEST LA
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,0.000 miles planned to be replaced                                                                                                                          ,"152 HIGHLAND, PALMS
(26.194952372000444, -97.75949481299966)"
REPLACE_CABLE,X,0.081 miles planned to be replaced                                                                                                                       ,"1540 SKYLARK LN, PALMS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,5.435 miles planned to be replaced                                                                                         ,"16112 VANOWEN ST &amp; WOODLEY AV UNIT: 613', NORTHRIDGE
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,0.000 miles planned to be replaced                                                                                                                         ,"1624 CAMDEN, WEST LA
(34.04941032800048, -118.44323641199969)"
REPLACE_CABLE,X,0.069 miles planned to be replaced                                                                                                     ,"1833 S LA CIENEGA BL UNIT: 382', WEST LA
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,0.186 miles planned to be replaced                                                                                                              ,"2431 MORENO DR, LINCOLN HEIGHTS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,0.170 miles planned to be replaced                                                                                                                        ,"326 G ST, WILMINGTON
(33.778347717000486, -118.26530196999971)"
REPLACE_CABLE,X,0.075 miles planned to be replaced                                                                                                                ,"515 -R GARDENA BL, WILMINGTON
(34.203440404000446, -77.84846715999964)"
REPLACE_CABLE,X,0.000 miles planned to be replaced                                                                                                                      ,"5560 THORNBURN, WEST LA
(33.973841880000464, -118.37752009199971)"
REPLACE_CABLE,X,0.057 miles planned to be replaced                                                                                                                      ,"680 PALMERA AV, WEST LA
(34.04781492800049, -118.5382118449997)"
REPLACE_CABLE,X,0.092 miles planned to be replaced                                                                                                                       ,"740 THAYER AV, WEST LA
(34.06783855600048, -118.4354039109997)"
REPLACE_CABLE,X,0.118 miles planned to be replaced                                                                                                                      ,"750 CHAPALA DR, WEST LA
(34.04140371900047, -118.52272213699968)"
REPLACE_CABLE,X,0.116 miles planned to be replaced                                                                                                                       ,"833 TOYOPA DR, WEST LA
(34.04322771000045, -118.52220810399967)"
REPLACE_CABLE,X,0.064 miles planned to be replaced                                                                                                                           ,"8540 HEDGES, PALMS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE,X,1.899 miles planned to be replaced                                                                                                                ,"BEACHWOOD DR, LINCOLN HEIGHTS
(40.81214185400046, -96.61106912199966)"
REPLACE_CABLE_OTHER,C,0.057 miles replaced                                                                                                                            ,"100 S BEACHWOOD DR, PALMS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE_OTHER,C,0.028 miles replaced                                                                                                                     ,"10011 TIKITA PL, NORTH HOLLYWOOD
(34.148347612000464, -118.3480998979997)"
REPLACE_CABLE_OTHER,C,0.028 miles replaced                                                                                                         ,"1007 NAPOLI DR UNIT: RMVL, PACIFIC PALISADES
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE_OTHER,C,0.009 miles replaced                                                                                                                        ,"1008 S ORANGE GROVE AV, PALMS
(39.52368635500045, -99.11415045099966)"
REPLACE_CABLE_OTHER,C,0.028 miles replaced                                                                                                                       ,"10111 ANGELO CI, BEVERLY HILLS
(34.08868298000044, -118.4305584919997)"
REPLACE_CABLE_OTHER,C,0.028 miles replaced                                                                                                                         ,"1022 S GRAND AV, LOS ANGELES
(33.73463098400049, -118.2901562129997)"
REPLACE_CABLE_OTHER,C,3.735 miles replaced                                                                                                                      ,"10224 CHARING CROSS RD, WEST LA
(34.078893835000486, -118.42991298899972)"
REPLACE_CABLE_OTHER,C,0.028 miles replaced                                                                                                                       ,"10234 NATIONAL BL, LOS ANGELES
(34.02910362600045, -118.4085817719997)"
REPLACE_CABLE_OTHER,C,0.057 miles replaced                                                                                                                         ,"1024 S GRAND AV, LOS ANGELES
(34.042210302000456, -118.26130754999969)"
REPLACE_CABLE_OTHER,C,2.781 miles replaced                                                                                                                         ,"1025 S OLIVE ST, LOS ANGELES
(34.04177780100048, -118.2600697359997)"
