Project Title,Project Category,"Project Status - OCT, 2014","Project Status - NOV, 2014","Design Finish - OCT, 2014","Design Finish - NOV, 2014","Percent Design Complete - OCT, 2014","Percent Design Complete - NOV, 2014","Construction Finish - OCT, 2014","Construction Finish - NOV, 2014","Percent Construction Complete - OCT, 2014","Percent Construction Complete - NOV, 2014","Schedule Trend - OCT, 2014","Schedule Trend - NOV, 2014","Spent to Date - NOV, 2014","Percent Spent to Date - NOV, 2014","Projected Cost - OCT, 2014","Projected Cost - NOV, 2014","Budget Trend - OCT, 2014","Budget Trend - NOV, 2014"
B.  93 - Cruise Terminal - Customs and Border Protection Improvements Conceptual Design (2525300),Berth  90-93 - World Cruise Center,Design,Design,11/27/2014,11/27/2014,10%,90%,,,,,On,On,$57524.00,41%,$140000.00,$140000.00,On,On
B.  91-93 - Alternative Maritime Power (AMP) Upgrade and Retrofit (2527300),Berth  90-93 - World Cruise Center,Design,Design,11/24/2014,11/24/2014,12%,12%,11/24/2014,11/24/2014,0%,0%,Chance of going off trend,Off,$5298.00,1%,$1000000.00,$1000000.00,On,On
B.  91-92 - Replacement of Elevator No. 1 (2528400),Berth  90-93 - World Cruise Center,Bid and Award,Bid and Award,,,,,06/29/2015,06/29/2015,0%,0%,On,On,$0.00,0%,$85000.00,$85000.00,On,On
B.  93 - Replacement of Elevator No. 1 (2528600),Berth  90-93 - World Cruise Center,Planning,Planning,,,,,06/28/2015,06/28/2015,0%,0%,On,On,$0.00,0%,$60000.00,$60000.00,On,On
B.  93 - Replacement of Elevator No. 6 (2528700),Berth  90-93 - World Cruise Center,Bid and Award,Bid and Award,,,,,06/25/2015,06/25/2015,0%,0%,On,On,$0.00,0%,$180000.00,$180000.00,On,On
B.  93 -  Cruise Terminal Water Line Replacement (2529700),Berth  90-93 - World Cruise Center,Construction,Construction,,,,,06/30/2015,06/30/2015,5%,30%,On,On,$88769.00,12%,$750000.00,$750000.00,On,On
B. 100-102 - Marine Operations Building (2454300),Berth 100-102 - China Shipping Container Terminal,Bid and Award,Bid and Award,08/31/2014,08/31/2014,100%,100%,06/30/2016,06/30/2016,0%,0%,On,On,$1818323.00,13%,$13800000.00,$13800000.00,On,On
B.  94-95 - Catalina Express Relocation (2480500),Berth 100-102 - China Shipping Container Terminal,Completed,,04/01/2012,,100%,,09/30/2014,,100%,,On,,,,$3875000.00,,On,
B. 100-102 - Crane Maintenance Building (2502600),Berth 100-102 - China Shipping Container Terminal,Bid and Award,Bid and Award,08/31/2014,08/31/2014,100%,100%,06/30/2016,06/30/2016,0%,0%,On,On,$434482.00,8%,$5700000.00,$5700000.00,On,On
B. 121-131 - Wharf Upgrades (2449000),Berth 121-131 - Yang Ming Container Terminal,Planning,Planning,04/10/2016,04/10/2016,0%,0%,04/10/2018,04/10/2018,0%,0%,On,On,$2357814.00,2%,$106700000.00,$106700000.00,On,On
B. 121-131 - West Basin Intermodal Container Transfer Facility (WBICTF) Expansion (2481000),Berth 121-131 - Yang Ming Container Terminal,Planning,Planning,04/10/2016,04/10/2016,0%,0%,04/10/2018,04/10/2018,0%,0%,On,On,$434548.00,4%,$11100000.00,$11100000.00,On,On
B. 121-131 - Terminal Redevelopment - Planning and Environmental (2523200),Berth 121-131 - Yang Ming Container Terminal,Environmental,Environmental,,,,,04/15/2016,04/15/2016,5%,5%,On,On,$472136.00,15%,$3200000.00,$3200000.00,On,On
B. 121 - Yang Ming Administration Building Re-roof (2528800),Berth 121-131 - Yang Ming Container Terminal,Bid and Award,Bid and Award,,,,,06/24/2015,06/24/2015,0%,0%,On,On,$0.00,0%,$255000.00,$255000.00,On,On
B. 121-126 - Crane Trench Retrofit (2529800),Berth 121-131 - Yang Ming Container Terminal,Bid and Award,Bid and Award,,,,,06/29/2015,06/29/2015,0%,0%,On,On,$37437.00,37%,$100000.00,$100000.00,On,On
B. 142-143 - Backland Improvements - Phases 2-4 (2449800),Berth 135-147 - TRAPAC Container Terminal,Construction,Construction,09/09/2013,09/09/2013,100%,100%,03/22/2017,03/22/2017,17%,21%,On,On,$18624848.00,13%,$143422405.00,$143422405.00,On,On
B. 142-147 - ICTF (2455100),Berth 135-147 - TRAPAC Container Terminal,Construction,Construction,09/08/2013,09/08/2013,100%,100%,02/02/2016,02/02/2016,17%,17%,On,On,$14392149.00,17%,$85865560.00,$85865560.00,On,On
RB 136-139 - Terminal Buildings & Main Gate (2458500),Berth 135-147 - TRAPAC Container Terminal,Construction,Construction,08/22/2012,08/22/2012,100%,100%,07/10/2015,07/10/2015,65%,70%,On,On,$52958280.00,66%,$80000000.00,$80000000.00,On,On
B. 134-135 - Backland Expansion (5-acre) (2513800),Berth 135-147 - TRAPAC Container Terminal,Design,Design,07/07/2015,07/07/2015,40%,40%,06/29/2017,06/29/2017,0%,0%,On,On,$146715.00,1%,$10753500.00,$10753500.00,On,On
B. 142 -  Crane Maintenance Building (2517700),Berth 135-147 - TRAPAC Container Terminal,Design,Design,01/31/2015,01/31/2015,95%,95%,08/02/2016,08/02/2016,0%,0%,On,On,$447237.00,8%,$5680302.00,$5680302.00,On,On
B. 212-220 - YTI Redevelopment EIR/EIS (2518900),Berth 212-224 - YTI Container Terminal,Environmental,Environmental,,,,,11/07/2014,11/07/2014,60%,60%,On,On,$1663209.00,64%,$2600000.00,$2600000.00,On,On
B. 214 - 220 - Redevelopment (2519800),Berth 212-224 - YTI Container Terminal,Design,Design,02/06/2015,02/06/2015,80%,80%,05/12/2017,05/12/2017,0%,0%,On,On,$1349773.00,2%,$56030540.00,$56030540.00,On,On
B. 226-232 - Panzerbelt And Cable Trench Upgrade and Replacement (2496600),Berth 222-236 - Development,Construction,Construction,09/13/2013,09/13/2013,100%,100%,06/01/2015,06/01/2015,50%,75%,On,On,$442819.00,44%,$1010000.00,$1010000.00,On,On
B. 226-236 - Leak Detection And Warning System (2519400),Berth 222-236 - Development,Design,Hold,03/24/2014,03/24/2014,100%,25%,06/12/2016,06/12/2016,0%,1%,On,On,$37769.00,3%,$1250000.00,$1250000.00,On,On
B. 226-236 - Terminal Improvements - Planning and Environmental (2524200),Berth 222-236 - Development,Environmental,Environmental,,,,,05/06/2016,01/18/2016,0%,0%,On,On,$301055.00,9%,$3360000.00,$3360000.00,On,On
B. 226-232 - EverPort Wharf Pavement Resurfacing and Striping (2527700),Berth 222-236 - Development,Bid and Award,Hold,08/15/2014,08/15/2014,100%,100%,11/21/2014,11/21/2014,0%,0%,Chance of going off trend,On,$3153.00,0%,$1600000.00,$1600000.00,On,On
B. 228-230 - Alternative Maritime Power (AMP) Upgrade and Retrofit (2529400),Berth 222-236 - Development,Design,Design,03/16/2015,03/16/2015,10%,10%,08/08/2016,08/08/2016,0%,0%,On,On,$8129.00,8%,$100000.00,$100000.00,On,On
B. 226-236  - Alternative Maritime Power (AMP) (2531100),Berth 222-236 - Development,Design,Design,06/10/2016,06/10/2016,1%,1%,12/10/2018,12/10/2018,0%,0%,On,On,$0.00,0%,$3304406.00,$3304406.00,On,On
B. 226-236 Terminal Improvements - Wharf and Backlands (2531200),Berth 222-236 - Development,Design,Design,06/10/2016,06/10/2016,1%,1%,12/10/2018,12/10/2018,0%,0%,On,On,$0.00,0%,$36110035.00,$36110035.00,On,On
"RB 301-305 - Buildings, Gates, and Backland Development (2489000)",Berth 300-306 - Development,Design,Design,08/04/2017,08/04/2017,2%,2%,01/21/2020,01/21/2020,0%,0%,On,On,$617429.00,2%,$30000000.00,$30000000.00,On,On
