IncrementalID,ADPNumber,ADPStatus,Applicant,Entitlement,ProjectDescription,ProjectLocation,ProjectType,ADPReceivedDate,ADPSentToDivisionDate,EMDReceivedDate,ENGPermitReceivedDate,ENGPermitReceivedDateNA,ADPCompletionDate,TypeofCDP,TypeofExemption,CDPNumber,CDPSentDateToApplicant,CDPSentDateToApplicantNA,CDPReceivedDate,CDPReceivedDateNA,PublicHearingDate,PublicHearingDateNA,BHCApprovalDate,BHCApprovalDateNA,AppealableCDP,EndOfAppealPeriodDate,EndofAppealPeriodDateNA,CostalCommApprovalDate,CostalCommApprovalDateNA,CDPSentDateToDivsions,CDPSentDateToDivsionsNA,RiskAnalysis,SentToLAFD,LAFD10DayReview,ReportToApplicant,ReportToApplicantNA,Notes,CancellationFlag,CDPFolderName
188,080103-001,Completed,Southern California Gas Co.,Order 4506,Abandonment of existing natural gas main.  Isolated cut (4x4),"Pier ""A"" Place",Development,01/03/2008 12:00:00 AM,01/03/2008 12:00:00 AM,01/25/2008 12:00:00 AM,02/07/2008 12:00:00 AM,FALSE,02/07/2008 12:00:00 AM,Exempt,30610(f),N/A,,FALSE,,FALSE,,FALSE,,FALSE,3,,FALSE,,FALSE,,FALSE,0,,,01/29/2008 12:00:00 AM,FALSE,,FALSE,
264,080109-002,Completed,POLA,Permit 718,"POLA - CEQA determination to Permit 718 of Crowley Marine Services, Inc. for five year term November 24, 2006 - November 23, 2011 at Berth 86",,Administrative,01/09/2008 12:00:00 AM,01/09/2008 12:00:00 AM,01/16/2008 12:00:00 AM,,FALSE,01/16/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
415,080110-003,Completed,Holiday Harbor-Fleitz Bros. LLC,,Holiday Harbor-Fleitz Bros. LLC - requesting to set-up chairs on the turn-around outside office building at Berth 34 for Bill Gribble Memorial,,Administrative,01/10/2008 12:00:00 AM,01/10/2008 12:00:00 AM,02/27/2008 12:00:00 AM,,FALSE,02/27/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
416,080114-004,Completed,Exxon Mobil,,ExxonMobil - install permanent flow test on fire water system,799 South Seaside Ave. Terminal Island,,01/14/2008 12:00:00 AM,01/14/2008 12:00:00 AM,02/22/2008 12:00:00 AM,,FALSE,02/22/2008 12:00:00 AM,Exempt,30610(f),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,,FALSE,,FALSE,
417,080115-005,Completed,Container Intermodal Transport,,"lease subject site for container and truck parking,",see Exhibit A for project location,Development,01/14/2008 12:00:00 AM,01/14/2008 12:00:00 AM,02/27/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,03/05/2013 12:00:00 AM,FALSE,,FALSE,
418,080115-006,Completed,LBCT,RP 07-11,proposed retaining wall on property line and drainage per plans,"1040 N. Goodrich Ave, Wilmington CA 90744",Development,01/15/2008 12:00:00 AM,01/15/2008 12:00:00 AM,04/01/2008 12:00:00 AM,,FALSE,04/19/2012 12:00:00 AM,N/A,Outside CZ,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,03/27/2008 12:00:00 AM,FALSE,4/2012:Tenant is no longer occupying the Port property.,FALSE,
427,080115-007,Completed,Pacific Harbor Line,TEUP 1048,proposes to operate a temporary liquefied natural gas (LNG) fueling station,at end of West Basin Container Terminal,Development,01/15/2008 12:00:00 AM,01/15/2008 12:00:00 AM,01/28/2008 12:00:00 AM,03/03/2008 12:00:00 AM,FALSE,03/03/2008 12:00:00 AM,Exempt,30610(b),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,01/28/2008 12:00:00 AM,FALSE,,FALSE,
419,080116-008,Completed,Arco Terminal Services Corp.,Permit 705,installation of test leads to enhance cathodic protection system,Middle Road south of Sepulveda Blvd.,Development,01/16/2008 12:00:00 AM,01/16/2008 12:00:00 AM,03/13/2008 12:00:00 AM,04/02/2008 12:00:00 AM,FALSE,04/02/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,02/22/2008 12:00:00 AM,FALSE,,FALSE,
420,080116-009,Completed,Arco Terminal Services Corp,Permit 705,close interval potential survey,"2401 E PCH, Wilmington; east of Dominguez Channel, north of 3rd Street and west of TI Fwy.",Development,01/16/2008 12:00:00 AM,01/16/2008 12:00:00 AM,02/22/2008 12:00:00 AM,04/01/2008 12:00:00 AM,FALSE,04/01/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,03/11/2008 12:00:00 AM,FALSE,,FALSE,
421,080117-010,Completed,Pacific Energy Partners,TEUP 1042,"perform potholing, geotechnical bores, and CPTs for pipelines",Pier 400,Development,01/17/2008 12:00:00 AM,01/22/2008 12:00:00 AM,02/27/2008 12:00:00 AM,03/04/2008 12:00:00 AM,FALSE,03/04/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,02/22/2008 12:00:00 AM,FALSE,,FALSE,
422,080123-011,Completed,Los Angeles Petanque Club,TEUP 1000,use of Boucha Court  for 3rd Annual Petanque tournament,Berth 93,Administrative,01/23/2008 12:00:00 AM,01/23/2008 12:00:00 AM,02/01/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
423,080124-012,Completed,West Coast Auto Body,N/A,requesting entitlement under joint revocable permit for an existing auto body and spray booth operations,8648 Atlantic Ave. South Gate,Administrative,01/23/2008 12:00:00 AM,01/23/2008 12:00:00 AM,03/13/2008 12:00:00 AM,,FALSE,03/13/2008 12:00:00 AM,,Outside CZ,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,,FALSE,,FALSE,
424,080125-013,Completed,POLA,N/A,Acquire subject property as part of voluntary acquistion program for properties offered for sale,Knoll Hill,Administrative,01/25/2008 12:00:00 AM,01/25/2008 12:00:00 AM,03/13/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
425,080125-014,Completed,APL,Permit 733,"Install ""99 switch"" camera in the Port of Los Angeles rail infrastructure",APL Rail Storage Yard,Development,01/25/2008 12:00:00 AM,01/25/2008 12:00:00 AM,02/27/2008 12:00:00 AM,04/23/2008 12:00:00 AM,FALSE,04/23/2008 12:00:00 AM,Exempt,30610(f),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,02/22/2008 12:00:00 AM,FALSE,,FALSE,
426,080201-015,Completed,Los Angeles Fire Department,TEUP 994,Request for overflow parking at Customs Building for Fire Station 40 Recruits for training purposes,300 Ferry Street,Administrative,02/01/2008 12:00:00 AM,02/04/2008 12:00:00 AM,02/27/2008 12:00:00 AM,,FALSE,02/27/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
428,080213-016,Completed,3M Company,N/A,FTZ 202 Subzone A to continue operating,"19901 Nordhoff Street, Northridge CA 91324",Administrative,02/13/2008 12:00:00 AM,02/19/2008 12:00:00 AM,03/31/2009 12:00:00 AM,,FALSE,03/31/2009 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
429,080219-017,Completed,Diaz Consultants,TEUP 1050,Preliminary Geotechnical Investigation for Site Characterization. Drill 18 Borings or Cone Penetration Tests (CPT),"Various borings east of the 103 freeway, directly north of PCH",Development,02/19/2008 12:00:00 AM,02/19/2008 12:00:00 AM,04/08/2008 12:00:00 AM,04/24/2008 12:00:00 AM,FALSE,04/24/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/21/2008 12:00:00 AM,FALSE,,FALSE,
430,080219-018,Cancelled,"Avon Products Foundation, Inc.",CANCELLED,"(CANCELLED) - Avon Products Foundation, Inc. - Avon Walk for Breast Cancer Upload-Download","750 Eldridge St., San Pedro parking lot",Administrative,02/19/2008 12:00:00 AM,02/20/2008 12:00:00 AM,04/04/2008 12:00:00 AM,,FALSE,04/04/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,TRUE,
431,080220-019,Completed,POLA,Owner,Building renovations for Crescent Warehouse relocation project,Berth 206-209,Development,02/20/2008 12:00:00 AM,02/21/2008 12:00:00 AM,04/30/2008 12:00:00 AM,,FALSE,04/30/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/30/2008 12:00:00 AM,FALSE,,FALSE,
432,080225-020,Completed,POLA,Owner,Inner Cabrillo Beach Water Quality Project Phase II,"Southern Cabrillo Beach, Stephen M. White Drive, San Pedro, CA 90731",Development,02/25/2008 12:00:00 AM,02/25/2008 12:00:00 AM,10/17/2008 12:00:00 AM,,FALSE,12/04/2008 12:00:00 AM,Level I,N/A,08-09,12/04/2008 12:00:00 AM,FALSE,02/25/2009 12:00:00 AM,FALSE,,FALSE,11/20/2008 12:00:00 AM,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,11/12/2008 12:00:00 AM,FALSE,,FALSE,
433,080303-021,Completed,LA County Federation of Labor,TEUP 1168,"Rally  with an expected 5,000 attendees",Berths 87-90,Administrative,03/03/2008 12:00:00 AM,03/03/2008 12:00:00 AM,04/08/2008 12:00:00 AM,,FALSE,04/11/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
434,080304-022,Cancelled,"Just Tri Sports, LLC",CANCELLED,(CANCELLED) - Childrens Triathlon,Cabrillo Beach Youth Camp and roads surrounding it,Administrative,03/04/2008 12:00:00 AM,03/04/2008 12:00:00 AM,04/04/2008 12:00:00 AM,,FALSE,04/04/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,CANCELLED,TRUE,
435,080313-023,Completed,POLA,TEUP 1017,"Lobster Festival September 10- 21st, 2008 area to be utilized",South end of Ports O' Call parking lot and  parking lot at 22nd and Sampson Way,Administrative,03/13/2008 12:00:00 AM,03/13/2008 12:00:00 AM,04/01/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
436,080317-024,Completed,Cabrillo Marine Aquarium,RP 1053,request for overflow parking for Earth Day celebration April 19th,22nd Street and Miner Street parking lots,Administrative,03/17/2008 12:00:00 AM,03/17/2008 12:00:00 AM,04/04/2008 12:00:00 AM,,FALSE,01/08/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
437,080319-025,Completed,POLA,N/A,proposed acquisition of property located,236 N. Avalon Blvd. Wilmington,Administrative,03/18/2008 12:00:00 AM,03/19/2008 12:00:00 AM,,,FALSE,01/19/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,EMD Memo will not be in file. This ADP is now closed.,FALSE,
