Insured Name,Contract No.,CA No.,Coverage Type,Effe Date,Exp Date
"Ace Crane Service, Inc.",31509-14,63174,Workers' Compensation,04/27/2014 12:00:00 AM,04/27/2015 12:00:00 AM
"Ace Crane Service, Inc.",31509-14,63174,General Liability,04/27/2014 12:00:00 AM,04/27/2015 12:00:00 AM
"Ace Crane Service, Inc.",31509-14,63174,Automobile Liability,04/27/2014 12:00:00 AM,04/27/2015 12:00:00 AM
CEVA Freight (fka) Eagle Global Logistics 1,A 08-2722,A 2012 0143,Automobile Liability,11/03/2013 12:00:00 AM,11/03/2014 12:00:00 AM
CEVA Freight (fka) Eagle Global Logistics 1,A 08-2722,A 2012 0144,General Liability,11/03/2013 12:00:00 AM,11/03/2014 12:00:00 AM
CEVA Freight (fka) Eagle Global Logistics 1,A 08-2722,A 2012 0145,Workers' Compensation,11/03/2013 12:00:00 AM,11/03/2014 12:00:00 AM
"Customs Air Warehouse, Inc. 1",A 09-2340-A,66091,Automobile Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Customs Air Warehouse, Inc. 1",A 09-2340-A,66091,Workers' Compensation,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Customs Air Warehouse, Inc. 1",A 09-2340-A,66091,General Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Citizen Watch Co. of America, Inc.",A 09-2346-A,55891,Automobile Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Citizen Watch Co. of America, Inc.",A 09-2346-A,55891,General Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Env America, Inc.",A 09-2744,48810,Auto Liability,08/04/2013 12:00:00 AM,08/04/2014 12:00:00 AM
"Env America, Inc.",A 09-2744,48810,General Liability,08/04/2013 12:00:00 AM,08/04/2014 12:00:00 AM
"Env America, Inc.",A 09-2744,65129,Workers Compensation,06/28/2014 12:00:00 AM,06/28/2015 12:00:00 AM
"Env America, Inc.",A 09-2744,48810,Professional Liability ,08/04/2013 12:00:00 AM,08/04/2014 12:00:00 AM
"Ask Marine, Inc.",A 09-2749A,66258,General Liability,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
"Ask Marine, Inc.",A 09-2749A,66258,Workers' Compensation,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
"Ask Marine, Inc.",A 09-2749A,66258,Automobile Liability,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
"Huitt-Zollars, Inc.",A 09-2802,A 2013 0016,Professional Liability,01/23/2013 12:00:00 AM,01/23/2014 12:00:00 AM
"Warren E&P, Inc. fka Global Oil Production, LLC & Chanse Energy Group)",A 1003,69088,Workers' Compensation,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Warren E&P, Inc. fka Global Oil Production, LLC & Chanse Energy Group)",A 1003,67343,General Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Warren E&P, Inc. fka Global Oil Production, LLC & Chanse Energy Group)",A 1003,67343,Automobile Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Tetra Tech, Inc.  8",A 10-2655A,69485,Professional Liability ,10/01/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"Tetra Tech, Inc.  8",A 10-2655A,69485,Workers' Compensation ,10/01/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"Tetra Tech, Inc.  8",A 10-2655A,69485,Automobile Liability,10/01/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"Tetra Tech, Inc.  8",A 10-2655A,69485,General Liability ,10/01/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"WKE, Inc.",A 10-2828,A 2012 0137,Professional Liability,10/11/2012 12:00:00 AM,10/11/2013 12:00:00 AM
Kwikset Corporation ( A Black & Decker Co.),A 10-2832,A 2014 0024,Workers' Compensation,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Kwikset Corporation ( A Black & Decker Co.),A 10-2832,A 2014 0024,General Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Kwikset Corporation ( A Black & Decker Co.),A 10-2832,A 2014 0024,Automobile Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
International Lobster Festival,A 10-2837,63138,Workers' Compensation,09/30/2013 12:00:00 AM,09/30/2014 12:00:00 AM
International Lobster Festival,A 10-2837,63138,Automobile Liability,06/09/2014 12:00:00 AM,06/09/2015 12:00:00 AM
