Year,Ship Calls,Passengers,Passengers Per Ship
1990,377,617876,819
1991,386,680559,882
1992,438,902453,1030
1993,417,880534,1056
1994,373,793256,1063
1995,287,794448,1384
1996,324,945180,1459
1997,324,942773,1455
1998,319,961187,1507
1999,295,992979,1683
2000,315,1082584,1718
2001,319,1164126,1825
2002,257,1075102,2092
2003,233,806022,1730
2004,230,924769,2010
2005,272,1218739,2240
2006,265,1184223,2234
2007,255,1161663,2278
2008,265,1195897,2256
2009,162,798886,2466
2010,147,731925,2490
2011,136,608386,2237
2012,98,426073,2174
2013,99,430189,2172
