Year,Dry Bulk,Liquid Bulk,General Cargo,Total
1978,0,26.5,12.1,38.6
1979,0,27.4,12.8,40.200000000000003
1980,0,26.9,14,40.9
1981,0,24,14.4,38.4
1982,0,20.8,14.3,35.1
1983,0,23.9,16,39.9
1984,1.9,20,16.8,38.700000000000003
1985,2.8,23,19.3,45.1
1986,3.8,23.4,23.9,51.1
1987,3.5,22.8,28.7,55
1988,4,24.5,32.1,60.6
1989,4.6,25,36.700000000000003,66.3
1990,4.5,24.1,39.299999999999997,67.900000000000006
1991,4.4,27.6,38.9,70.900000000000006
1992,3.7,22.5,41.1,67.3
1993,3.9,18,45.9,67.8
1994,3.2,16.5,45.3,65
1995,3.7,17.899999999999999,53,74.7
1996,4.4,17.3,75.2,68.599999999999994
1997,3.5,14.1,57.7,75.3
1998,4.6,13.3,60,77.900000000000006
1999,5.1,10.199999999999999,66.8,82.1
2000,7.1,12.5,81.900000000000006,101.5
2001,5.4,10.9,97.6,113.9
2002,6.2,12.9,107.1,126.2
2003,4.2,11.4,131.9,147.5
2004,3.9,11.9,146.30000000000001,162.1
2005,4.3,12.8,145,162.1
2006,3.6,22.8,155.19999999999999,181.6
2007,2.8,15.4,171.9,190.1
2008,1.9,6.2,161.9,170
2009,2,11.1,144.30000000000001,157.4
2010,1.4,10.7,145.80000000000001,157.9
2011,1.2,10.6,149.1,160.9
2012,1.1,9.9,163.9,174.9
2013,1,7.8,156.30000000000001,165.1
