LADWP Facility Response,Central,Lincoln Ht,Palms,Wilmington,West LA,Van Nuys,Northridge
2000 Q1,205,107,140,93,83,198,215
2000 Q2,108,49,71,75,66,164,216
2000 Q3,119,92,165,56,48,150,214
2000 Q4,109,55,237,31,79,115,142
2001 Q1,230,119,146,133,87,284,196
2001 Q2,113,50,79,38,60,238,147
2001 Q3,76,74,94,21,43,104,125
2001 Q4,116,65,212,86,97,166,253
2002 Q1,105,114,101,42,54,120,208
2002 Q2,99,59,57,42,54,133,130
2002 Q3,87,90,101,52,77,167,185
2002 Q4,225,101,224,66,117,342,342
2003 Q1,188,133,170,71,110,244,387
2003 Q2,164,51,117,54,39,100,137
2003 Q3,119,94,164,49,82,257,240
2003 Q4,352,125,147,47,108,237,207
2004 Q1,192,136,194,69,87,189,256
2004 Q2,141,82,118,44,153,177,186
2004 Q3,115,84,183,79,90,193,285
2004 Q4,357,160,213,75,167,242,241
2005 Q1,283,251,262,119,160,428,395
2005 Q2,159,90,110,50,112,160,217
2005 Q3,206,202,179,72,87,285,526
2005 Q4,195,92,137,33,112,196,199
2006 Q1,233,124,174,39,148,310,231
2006 Q2,201,153,137,32,91,269,268
2006 Q3,274,289,278,45,147,563,787
2006 Q4,201,97,126,70,135,210,283
2007 Q1,228,70,140,62,143,245,213
2007 Q2,321,112,167,61,119,253,259
2007 Q3,194,221,310,63,164,478,544
2007 Q4,196,123,165,100,142,179,442
2008 Q1,177,152,211,79,166,279,234
2008 Q2,200,108,152,63,93,255,274
2008 Q3,120,87,110,45,82,197,230
2008 Q4,179,71,222,91,134,309,308
2009 Q1,147,82,124,65,207,142,154
2009 Q2,204,109,118,54,71,141,186
2009 Q3,232,107,147,56,119,257,233
2009 Q4,295,117,250,52,177,191,259
2010 Q1,192,177,135,76,164,250,275
2010 Q2,196,71,105,38,68,170,201
2010 Q3,156,108,137,56,100,207,269
2010 Q4,284,173,192,75,142,182,208
2011 Q1,217,91,171,53,120,333,320
2011 Q2,115,78,165,52,83,141,158
2011 Q3,165,124,99,35,62,200,242
2011 Q4,257,294,126,106,171,165,256
2012 Q1,214,72,141,47,226,162,168
2012 Q2,139,65,114,60,84,144,149
2012 Q3,151,120,151,55,107,240,337
2012 Q4,199,195,187,54,113,154,218
2013 Q1,209,123,130,58,101,156,195
2013 Q2,185,85,139,77,79,226,264
2013 Q3,157,75,136,56,81,188,221
2013 Q4,158,79,134,66,125,195,260
