Date Value,Month-Year,Quarter-FY,Annual-FY,Total visitors to museums (excluding Griffith Observatory) (Annually-FY),TARGET: Total visitors to museums (excluding Griffith Observatory) (Annually-FY),Number of visitors to Griffith Observatory (Annually FY),TARGET: Number of visitors to Griffith Observatory (Annually FY),Number of Cultural Program and Class Registrations(Quarterly),TARGET: Number of Cultural Program and Class Registrations(Quarterly),Number of Cultural Program and Class Participants (Quarterly),TARGET: Number of Cultural Program and Class Participants (Quarterly),Number of Youth and Adult Sport Registrations(Quarterly),TARGET: Number of Youth and Adult Sport Registrations (Quarterly),Number of Youth and Adult Sport Participants (Quarterly),TARGET: Number of Youth and Adult Sport Participants (Quarterly),Number of Golf Rounds Played (Quarterly),TARGET: Number of Golf Rounds Played (Quarterly),Total attendance at City aquatic facilities (Annually),TARGET: Total attendance at City aquatic facilities (Annually)
06/30/2010 12:00:00 AM,41800,Q4 FY10,FY 2010,,,,,,,,,,,,,,,,
07/31/2010 12:00:00 AM,41830,,,,,,,,,,,,,,,,,,
08/31/2010 12:00:00 AM,41861,,,,,,,,,,,,,,,,,,
09/30/2010 12:00:00 AM,41892,Q1 FY11,,,,,,,,,,,,,,,,,
10/31/2010 12:00:00 AM,41922,,,,,,,,,,,,,,,,,,
11/30/2010 12:00:00 AM,41953,,,,,,,,,,,,,,,,,,
12/31/2010 12:00:00 AM,41983,Q2 FY11,,,,,,,,,,,,,,,,,
01/31/2011 12:00:00 AM,41650,,,,,,,,,,,,,,,,,,
02/28/2011 12:00:00 AM,41681,,,,,,,,,,,,,,,,,,
03/31/2011 12:00:00 AM,41709,Q3 FY11,,,,,,,,,,,,,,,,,
04/30/2011 12:00:00 AM,41740,,,,,,,,,,,,,,,,,,
05/31/2011 12:00:00 AM,41770,,,,,,,,,,,,,,,,,,
06/30/2011 12:00:00 AM,41801,Q4 FY11,FY 2011,,,,,,,,,,,,,,,,
07/31/2011 12:00:00 AM,41831,,,,,,,,,,,,,,,,,,
08/31/2011 12:00:00 AM,41862,,,,,,,,,,,,,,,,,,
09/30/2011 12:00:00 AM,41893,Q1 FY12,,,,,,,,,,,,,,,,,
10/31/2011 12:00:00 AM,41923,,,,,,,,,,,,,,,,,,
11/30/2011 12:00:00 AM,41954,,,,,,,,,,,,,,,,,,
12/31/2011 12:00:00 AM,41984,Q2 FY12,,,,,,,,,,,,,,,,,
01/31/2012 12:00:00 AM,41651,,,,,,,,,,,,,,,,,,
02/29/2012 12:00:00 AM,41682,,,,,,,,,,,,,,,,,,
03/31/2012 12:00:00 AM,41710,Q3 FY12,,,,,,,,,,,,,,,,,
04/30/2012 12:00:00 AM,41741,,,,,,,,,,,,,,,,,,
05/31/2012 12:00:00 AM,41771,,,,,,,,,,,,,,,,,,
06/30/2012 12:00:00 AM,41802,Q4 FY12,FY 2012,325000,,969479,,,,,,,,,,,,1330000,
07/31/2012 12:00:00 AM,41832,,,,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,41863,,,,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,41894,Q1 FY13,,,,,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,41924,,,,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,41955,,,,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,41985,Q2 FY13,,,,,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,41652,,,,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,41683,,,,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,41711,Q3 FY13,,,,,,,,,,,,,,,,,
04/30/2013 12:00:00 AM,41742,,,,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,41772,,,,,,,,,,,,,,,,,,
06/30/2013 12:00:00 AM,41803,Q4 FY13,FY 2013,310000,,1033429,,,,,,,,,,,,1330000,
07/31/2013 12:00:00 AM,41833,,,,,,,,,,,,,,,,,,
08/31/2013 12:00:00 AM,41864,,,,,,,,,,,,,,,,,,
09/30/2013 12:00:00 AM,41895,Q1 FY14,,,,,,31145,,612922,,25685,,620612,,252401,,,
10/31/2013 12:00:00 AM,41925,,,,,,,,,,,,,,,,,,
11/30/2013 12:00:00 AM,41956,,,,,,,,,,,,,,,,,,
12/31/2013 12:00:00 AM,41986,Q2 FY14,,,,,,33301,,677245,,17766,,462578,,197735,,,
