Month,Target (Acre Feet),Actual (Acre Feet)
11-Jul,633,909
11-Aug,1267,2019
11-Sep,1900,3086
11-Oct,2533,3879
11-Nov,3167,4174
11-Dec,3800,4301
12-Jan,4433,4582
12-Feb,5067,4713
12-Mar,5700,5372
12-Apr,6333,5906
12-May,6967,6328
12-Jun,7600,6953
12-Jul,700,880
12-Aug,1400,1447
12-Sep,2000,2025
12-Oct,2500,2752
12-Nov,3000,3182
12-Dec,3400,3438
13-Jan,3800,3438
13-Feb,4200,4499
13-Mar,4600,4948.7
13-Apr,5100,5663.8
13-May,5800,6644
13-Jun,6500,7480
13-Jul,900,1023.7
13-Aug,1800,1792.7
13-Sep,2700,2874.7
13-Oct,3600,3530.7
13-Nov,4200,3788.7
13-Dec,4700,5196.5
14-Jan,5200,5529
14-Feb,5700,6381.24
14-Mar,6300,6581.14
