District,TruckNo,EventMonth,EventYear,TotalMiles
East Valley,27087,1,2014,11
East Valley,27142,1,2014,30
East Valley,27432,1,2014,725
East Valley,29088,1,2014,195
East Valley,33065,1,2014,884
East Valley,33095,1,2014,2115
East Valley,36001,1,2014,554
East Valley,36005,1,2014,846
East Valley,36006,1,2014,1386
East Valley,36011,1,2014,19
East Valley,36012,1,2014,1124
East Valley,36014,1,2014,1094
East Valley,36018,1,2014,944
East Valley,36022,1,2014,1360
East Valley,36023,1,2014,409
East Valley,36024,1,2014,783
East Valley,36025,1,2014,398
East Valley,36043,1,2014,630
East Valley,36044,1,2014,1045
East Valley,36046,1,2014,1186
East Valley,36048,1,2014,361
East Valley,36051,1,2014,1331
East Valley,36055,1,2014,1103
East Valley,36061,1,2014,670
East Valley,36067,1,2014,1255
East Valley,36068,1,2014,328
East Valley,36077,1,2014,1171
East Valley,36079,1,2014,1592
East Valley,36081,1,2014,1575
East Valley,36082,1,2014,1938
East Valley,36107,1,2014,768
East Valley,36109,1,2014,1069
East Valley,36126,1,2014,1343
East Valley,36161,1,2014,2242
East Valley,36163,1,2014,19
East Valley,36167,1,2014,799
East Valley,36168,1,2014,802
East Valley,36171,1,2014,1780
East Valley,36174,1,2014,588
East Valley,36177,1,2014,620
East Valley,36186,1,2014,574
East Valley,36187,1,2014,1592
East Valley,36188,1,2014,1293
East Valley,36189,1,2014,1284
East Valley,36190,1,2014,1411
East Valley,36191,1,2014,1360
East Valley,36192,1,2014,1266
East Valley,36193,1,2014,1420
East Valley,36203,1,2014,1027
East Valley,36206,1,2014,177
East Valley,36207,1,2014,115
East Valley,36211,1,2014,1141
East Valley,36212,1,2014,1372
East Valley,36216,1,2014,1228
East Valley,36217,1,2014,1208
East Valley,36220,1,2014,1279
East Valley,36221,1,2014,959
East Valley,36479,1,2014,1493
East Valley,36484,1,2014,1618
East Valley,36490,1,2014,1379
East Valley,36491,1,2014,1107
East Valley,36495,1,2014,1609
East Valley,36497,1,2014,1139
East Valley,36499,1,2014,1583
East Valley,36500,1,2014,1285
East Valley,36501,1,2014,809
East Valley,36502,1,2014,1921
East Valley,36508,1,2014,885
East Valley,36509,1,2014,1517
East Valley,36510,1,2014,1026
East Valley,36511,1,2014,1691
East Valley,36514,1,2014,1052
East Valley,36515,1,2014,1212
East Valley,36518,1,2014,58
East Valley,36520,1,2014,1015
East Valley,36521,1,2014,942
