Fiscal Year,Start of Fiscal Year,Reserve fund balance on July 1,Reserve fund as a % of General Fund,2004-05 Projection,2005-06 Projection,2006-07 Projection,2007-08 Projection,2008-09 Projection,2009-10 Projection,2010-11 Projection,2011-12 Projection,2012-13 Projection,2013-14 Projection,2014-15 Projection
2004-05,07/01/2004 12:00:00 AM,$144800000.00,3.95%,,,,,,,,,,,
2005-06,07/01/2005 12:00:00 AM,$158600000.00,4.02%,$-293800000.00,,,,,,,,,,
2006-07,07/01/2006 12:00:00 AM,$178800000.00,4.12%,$-237300000.00,$-236100000.00,,,,,,,,,
2007-08,07/01/2007 12:00:00 AM,$113700000.00,2.56%,$-176800000.00,$-265800000.00,$-264600000.00,,,,,,,,
2008-09,07/01/2008 12:00:00 AM,$166100000.00,3.65%,$-126500000.00,$-165100000.00,$-201100000.00,$20900000.00,,,,,,,
2009-10,07/01/2009 12:00:00 AM,$151700000.00,3.45%,,$-63500000.00,$-121400000.00,$70900000.00,$-293100000.00,,,,,,
2010-11,07/01/2010 12:00:00 AM,$171300000.00,3.92%,,,$-73700000.00,$68400000.00,$-342800000.00,$-1007400000.00,,,,,
2011-12,07/01/2011 12:00:00 AM,$200700000.00,4.58%,,,,$86600000.00,,$-1198900000.00,$-233800000.00,,,,
2012-13,07/01/2012 12:00:00 AM,$233100000.00,5.12%,,,,,,,$-341800000.00,$-281000000.00,,,
2013-14,07/01/2013 12:00:00 AM,$326700000.00,6.71%,,,,,,,$-431500000.00,$-304500000.00,$-199200000.00,,
2014-15,07/01/2014 12:00:00 AM,$284100000.00,5.52%,,,,,,,$-472400000.00,$-310800000.00,$-315300000.00,$-241700000.00,
2015-16,07/01/2015 12:00:00 AM,,,,,,,,,,$-249400000.00,$-285900000.00,$-201100000.00,$-165200000.00
2016-17,07/01/2016 12:00:00 AM,,,,,,,,,,,$-253400000.00,$-184800000.00,$-186800000.00
2017-18,07/01/2017 12:00:00 AM,,,,,,,,,,,,$-83100000.00,$-73900000.00
2018-19,07/01/2018 12:00:00 AM,,,,,,,,,,,,,$20900000.00
