Jul_2005,Aug_2005,Sep_2005,Oct_2005,Nov_2005,Dec_2005,Jan_2006,Feb_2006,Mar_2006,Apr_2006,May_2006,Jun_2006,Jul_2006,Aug_2006,Sep_2006,Oct_2006,Nov_2006,Dec_2006,Jan_2007,Feb_2007,Mar_2007,Apr_2007,May_2007,Jun_2007,Jul_2007,Aug_2007,Sep_2007,Oct_2007,Nov_2007,Dec_2007,Jan_2008,Feb_2008,Mar_2008,Apr_2008,May_2008,Jun_2008,Jul_2008,Aug_2008,Sep_2008,Oct_2008,Nov_2008,Dec_2008,Jan_2009,Feb_2009,Mar_2009,Apr_2009,May_2009,Jun_2009,Jul_2009,Aug_2009,Sep_2009,Oct_2009,Nov_2009,Dec_2009,Jan_2010,Feb_2010,Mar_2010,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,Mar_2012,Apr_2012,May_2012,Jun_2012,Jul_2012,Aug_2012,Sep_2012,Oct_2012,Nov_2012,Dec_2012,Jan_2013,Feb_2013,Mar_2013,Apr_2013,May_2013,Jun_2013,Location 1
21.52,22.42,21.66,19.63,18.03,18.7,19.61,17.17,18.82,18.25,20.3,20.33,22.22,23.11,20.94,20.64,19.1,19.3,19.43,17.37,20.05,20.49,22.93,22.5,22.12,22.05,19.93,19.47,18.01,18.13,17.86,15.93,18.8,18.95,17.17,14.92,20.61,20.06,19.07,18.79,17,16.96,17.05,15.08,17.73,17.75,16.34,14.62,18.95,19.24,17.93,17.53,14.29,14.08,13.69,12.37,13.96,13.62,14.07,13.56,15.25,15.73,14.53,15.15,14.03,13.53,13.82,12.6,13.96,13.97,14.83,14.81,16.12,16.55,15.29,15.26,14.65,14.42,14.25,13.88,15.38,15.08,16.56,16.21,11.43,11.77,10.4,10.44,9.01,9.01,9.03,8.14,9.44,9.32,10.58,10.59,"90001
(33.973271508000494, -118.24896959899968)"
24.27,24.7,22.55,21.32,19.11,18.46,18.18,16.54,18.13,17.62,20.71,22.7,24.08,24.71,22.09,21.08,19.13,18.43,18.45,16.99,19.2,19.36,21.53,22.07,23.57,23.94,21.27,20.55,18.11,17.14,16.93,15.75,18.16,18.87,19.53,19.12,21.47,21.31,19.69,19.46,17.45,16.74,16.34,14.65,17.33,17.93,18.57,18.01,19.66,20.33,18.66,18.01,16.29,15.98,15.7,14.04,16.15,16.68,17.69,17.67,18.39,18.74,17.33,16.91,15.37,15.01,15.11,13.99,15.69,15.57,17.19,18.13,19.07,18.97,17.37,16.79,15.37,15.47,15.52,14.99,16.14,15.72,17.78,18.55,11.98,12.16,11,10.99,9.99,9.66,9.86,9.02,10.32,10.52,11.3,11.37,"90002
(33.94895251300045, -118.24697958699971)"
22.7,23.18,21.19,20.79,19.77,20.42,20.19,18.31,20.27,19.02,20.71,20.97,21.98,22.37,20.75,20.52,19.22,19.36,19.37,17.71,20.18,19.72,20.59,20.38,21.6,22.01,20.59,20.43,18.76,18.64,18.2,16.67,18.84,18.97,19.77,19.15,20.46,20.61,19.78,19.81,18.41,18.34,18.05,16.1,18.22,17.99,18.82,18.2,19.65,19.91,18.8,18.73,17.62,17.65,17.24,15.19,17.27,17.25,18.17,17.69,18.75,19.23,18.05,17.94,16.74,17.18,17.09,15.13,17.04,16.77,17.69,17.44,18.47,18.68,17.59,17.58,16.6,16.94,16.83,15.78,17.08,16.69,17.91,17.88,11.31,11.54,10.57,10.6,9.54,9.61,9.68,8.73,9.96,10,10.84,10.94,"90003
(33.96335186100049, -118.27393599999971)"
47.97,48.84,43.76,42.15,38.21,38.37,37.57,33.57,37.16,36.21,41.63,43.35,46.35,48.02,43.99,43.33,39.5,38.79,38.4,34.23,39.93,40.29,43.53,43.44,45.92,46.87,41.98,40.88,36.85,35.53,34.14,31.01,36.73,39.2,42.07,41.57,44.32,44.56,41.37,41.16,36.85,35.03,33.78,29.89,35.41,37.31,38.9,37.68,40.51,40.93,38.04,36.9,33.35,32.61,30.88,26.6,31.5,32.74,35.77,36,38.45,39.69,36.15,34.96,31.65,30.97,31.17,28.41,32.2,32.85,35.8,36.24,38.74,38.87,35.7,34.76,31.69,31.62,31.76,29.97,32.23,31.78,36.24,36.94,22.91,23.75,21.39,21.11,15.45,13.1,14.06,13.47,16.81,18.07,20.48,21.27,"90004
(34.07572239300049, -118.30301712299968)"
81.35,81,78.17,77.15,72.53,73.33,73.11,64.98,71.44,67.81,76.62,74.83,82.04,81.15,76.64,76.34,72.23,72.81,71.7,64.77,73.31,71.56,74.41,73.82,75.22,74.58,70.83,69.48,66.77,63.01,61.83,56.6,64.48,63.16,68.82,66.53,71.83,71.08,68.72,67.82,65.88,62.17,61.95,55.58,64.11,62.53,66.42,63.83,69.62,68.87,67.33,65.99,63.31,62.42,59.67,53.1,60.6,59.35,64.89,62.8,68.58,68.55,65.06,65.55,60.41,60.16,60.8,53.86,60.43,58.79,64.88,63.59,69.72,67.1,65.13,64.04,59.91,60.97,60.96,56.85,61.44,59.15,64.6,63.34,32.06,31.89,29.06,27.39,20.36,18.6,17.71,17.04,21.75,22.91,28.36,28.5,"90005
(34.05907233200048, -118.30301712299968)"
51.45,51.4,48.03,48.22,46.08,47.35,46.5,41.78,45.44,43.66,48.44,47.85,52.59,51.62,46.83,48.01,46.5,47.23,45.71,40.83,47.37,46.39,46.76,46.32,49.95,49.1,46.85,47.03,44.34,44.45,42.43,38.51,43.37,42.39,45.4,42.86,47.36,46.63,45.34,45.45,43.12,43.2,42.73,38.01,42.8,41.79,44.58,42.03,45.17,44.92,43.71,42.86,41.55,41.81,41.25,37.01,41.19,39.35,42.58,41.28,43.81,43.98,42.23,42.37,40.32,40.6,41.33,36.7,40.41,39.1,43.01,41.2,44.07,43.68,42.68,42.59,39.74,40.87,41.11,38.06,41.26,39.92,42.87,40.6,12.59,12.49,11.63,11.8,9.95,10.28,10.31,9.25,10.78,10.52,11.46,11.07,"90006
(34.05010424100044, -118.2926890439997)"
45.65,46.75,47.15,47.52,43.21,43.88,42.66,39.87,43.93,45.86,52.64,51.6,55.48,55.01,54.19,53.28,48.06,46.66,47.38,43.93,50.32,48.06,45.88,46.5,47.77,47.11,49.38,51.61,45.5,38.67,41.14,38.52,44.46,43.34,45.09,40.02,47.12,46.39,48.19,50.66,45.06,38.24,41.05,37.79,44.07,43.01,44.47,39.35,42.1,43.28,46.62,45.2,41.83,37.57,37.41,36.15,40.27,40.54,43.2,40.93,43.7,51.29,52.29,51.95,49.58,47.33,53.4,48.6,53.25,47.96,54.48,49.53,43.45,44.22,44.87,44.43,40.01,36.9,40.28,37.98,42,40.43,42.29,41.13,13.02,13.04,13.18,13.06,10.53,10.83,10.37,9.33,11.37,11.03,12.31,11.87,"90007
(34.02833141800045, -118.28507659499968)"
27.74,27.56,25.89,24.33,21.2,21.56,21.49,18.87,20.18,20.37,23.19,24.44,27.72,26.89,24.88,24.83,23.12,22.82,22.1,20.28,22.94,23.01,25.31,25.18,26.76,26.43,25.07,24.27,21.4,20.73,19.24,18.16,20.49,20.95,23.47,23.25,25.47,24.95,23.57,23.45,21.27,20.54,18.77,17.16,19.79,19.91,21.84,21.4,22.81,22.51,21.59,21.26,19.24,18.99,17.83,16.05,17.61,18,20.7,20.84,22.22,22.07,21.05,20.18,17.62,17.81,17.46,16.07,17.98,18.33,20.66,20.71,22.6,22.14,20.85,20.01,17.89,18.43,18.61,17.26,18.38,18.2,19.91,20.48,11.84,11.69,11.16,10.39,8.56,8.31,7.84,7.29,8.81,9.2,10.79,10.74,"90008
(34.01097312100046, -118.34158773599972)"
154.39,156.81,152.4,148.07,132.9,129.24,131.13,123.2,130.27,120.45,135.02,137.02,147.63,158.65,153.63,148.82,136.68,128.5,128.12,121.34,134.95,127.89,133.32,137.36,151.49,144.57,143.72,142.49,133.02,111.89,118.1,104.56,126.59,122.16,128.44,121.34,151.19,144.58,143.88,142.75,133.29,111.98,117.49,103.55,124.41,120.29,126.47,119.72,140.63,142.83,139.36,128.18,116.16,113.61,110.21,96.83,112.8,106.81,113.03,108.15,125.67,128.51,125.44,127.35,116.12,107.54,116.63,116.22,123.02,114.09,121.69,118.82,132.84,129.52,129.63,126.65,114.39,113.17,110.53,104.68,113.07,111.23,122.84,121.41,11.5,11.5,12.25,12.75,11.25,11.25,7.25,6.25,7.25,7,7,7.25,"90010
(34.06139256500046, -118.30969974099969)"
26.88,26.83,24.45,24.55,22.43,22.87,22.8,20.71,22.54,21.51,25,24.61,27.56,27.66,24.29,24.79,22.79,23.06,22.5,20.24,23.43,22.81,24.77,24.46,26.26,26.27,23.96,24.27,21.87,21.74,21.26,19.52,22.45,22.24,23.24,22.39,25.3,25.35,23.49,23.7,21.74,21.61,21.39,19.15,22,21.61,22.72,22.05,24.15,23.78,21.97,21.85,20.56,20.51,19.79,17.66,19.96,19.56,21.43,21.03,22.72,22.93,21.02,21.17,19.19,19.37,19.58,17.51,19.89,19.42,21.11,20.76,22.54,22.23,20.8,21.27,19.18,19.65,19.58,18.6,20.22,19.78,21.61,21.56,12.55,12.6,11.66,12.03,10.08,10.35,10.46,9.45,10.87,10.68,11.81,11.42,"90011
(34.00790120200048, -118.25903697699971)"
