Address,INTERSECTION,LAND AREA,ACCESS,THOMAS_BRO,TOPOGRAPHY,TRACT,ZONING,STATUS,Location 1
San Fernando Rd./Figueroa St.,San Fernando Rd./Figueroa St.,13623.437,Yes,594-J7,Level,DAYTON AVENUE HOME TRACT,PF-1,City Yard,"(34.0813976, -118.2256824)"
"1206 South Vermont Ave., Pico Heights",Vermont Ave./Pico Blvd.,9496,,634-A4,,,C2-1,Old Fire Station# 13,
"5340 Canoga Ave., Woodland Hills",Canoga Ave./Costanso St.,12267,Yes,560-B2,,,R2-1,Old Fire Station# 84,"(34.1669972, -118.5974414)"
"8455 W. Grand View Dr. Los Angeles, CA 90046",Grand View Dr./Cole Crest Dr.,4293.027,Yes,593-A4,Hillside,TR 798,R1-1,Structure and trees,"(34.1026437, -118.3752715)"
"5001 Balboa Blvd., Encino",Balboa Blvd./Addison St.,15943,Yes,561-D3,,,A2-1VL,Old Firestation #83,"(34.1617181, -118.5010967)"
"8642 N. Sunland Blvd. Los Angeles, CA 91352",Sunland Blvd./Olinda St.,19358.278,Yes,533-A1,Level,TR 482,(T)(Q)R3-1VL,Structure on property,"(34.227165, -118.365678)"
"8943 Glenoaks Blvd., Sun Valley",Glenoaks Blvd./Penrose St.,7903,Yes,503-A7,,,C2-1VL,Old Firestation #77,"(34.2310323, -118.3676599)"
"6000 S. St. Andrews Pl. Los Angeles, CA 90047",St. Andrews Pl./60th St.,115168,Yes,673-H6,Level,TR 5999,M2-1,Warehouse,
"3631 Centinela Ave., Mar Vista",Centinela Ave./Windward Ave.,14985,Yes,672-C3,,,(Q)RD1.5-1,Old Firstation #62,"(34.0075395, -118.4365235)"
"10241 Balboa Blvd., Granada Hills",Balboa Blvd./Devonshire St.,12197,Yes,501-C4,,,A2-1VL,Old Firstation #87,"(34.2565435, -118.5023608)"
"5637 W. La Mirada Ave. Los Angeles, CA 90038",La Mirada Ave./Wilton Pl.,7767.236,Yes,593-H5,Level,LA PALOMA TRACT,R3-1,Under construction,"(34.0938549, -118.3125126)"
La Mirada Ave./Wilton Pl.,La Mirada Ave./Wilton Pl.,7205.141,Yes,593-H5,Level,LA PALOMA TRACT,R3-1,under construction,"(34.0937659, -118.3135582)"
5636 Fountain Ave.,Fountain Ave./Wilton Pl.,37499.407,Yes,593-H5,Level,LA PALOMA TRACT,R3-1,Structures,"(34.0947321, -118.3122458)"
"1700 N. Cherokee Ave. Los Angeles, CA 90028",Cherokee Ave./Hollywood Blvd.,18908.149,Yes,593-E4,Hillside,HOLLYWOOD OCEAN VIEW TRACT,C4-2D,Building,"(34.1015714, -118.3347305)"
Huntington Dr./Rosemead Ave.,Huntington Dr./Rosemead Ave.,15000,Yes,595-E5,Level,NEWTON PARK,PF-1,Building,"(34.0872239, -118.175984)"
"10620 S. Graham Ave. Los Angeles, CA 90002",Graham St./107th Ave.,3125,Yes,704-G5,Level,FARRIS TRACT,OS-1XL,See Coments,"(33.9400162, -118.2426762)"
1525 E. 103rd Street,103rd St./Compton Ave.,23513,Yes,704-F5,,,PF-1,Old Firestation #65,"(33.9432936, -118.2477548)"
"1803 S. Arlington Ave., Los Angeles, 90019",Arlington Ave./18th St.,11726,Yes,633-G5,Level,,RD1.5-1-O,Old Library,"(34.0406989, -118.318018)"
"6621 West Manchester Ave., Westchester",Manchester Ave./Emerson Ave.,19500.5,Yes,702-F3,Level,Sec25T2SR15W,R1-1,Old Firestation #5,"(33.960142, -118.405163)"
"11950 Missouri Ave., West Los Angeles, 90025",Missouri Ave. & Bundy Dr.,32641.6,Yes,631-J6,,Pacific Farms,M2-1,Old Animal Shelter,"(34.0352746, -118.4565048)"
"14403-09 W. Vanowen St., Sherman Oaks, 91405",Vanowen St. & Sylmar Ave.,149960,Yes,532-A5,,TR 23958,C2-1L, Animal Shelter,
"957 N. Gaffey St., San Pedro, 90731",Gaffey St. & Shields Dr.,78000,Yes,824-B3,,TR 2024,, Animal Shelter,
"3201 Lacy St., Los Angeles, 90031",Lacy St. & Avenue 26,140698,Yes,594-J6,,Griffin TR,, Animal Shelter,
"1850 W. 60th St., SLA, 90047",60th St. & St. Andrews Pl.,114998.4,Yes,673-H6,,TR 5999,, Animal Shelter,
"11361 W. Pico Blvd., WLA, 90064",Pico Blvd. & Purdue Ave.,83030.6,Yes,632-B6,,Pacific Farms,, Animal Shelter,
"20655 W. Plummer St., Chatsworth, 91311",Plummer St. & Lurline Ave.,145467,Yes,500-C6,,Ex Mission,, Animal Shelter,
"3612 S. 11th Ave., SLA, 90018",11th Ave.  & 36th St.,34800,Yes,673-F1,,West Jefferson,,Old Animal Shelter,
