Water Zone 1 (Low),Water Zone 2 (Medium),Water Zone 3 (High),Electric Zone 1 (Low),Electric Zone 2 (High)
90045,90001,91040,90004,90001
90049,90002,91042,90008,90002
90066,90003,91210,90009,90003
90077,90004,91214,90016,90005
90245,90005,91302,90018,90006
90272,90006,91303,90019,90007
90291,90007,91304,90024,90010
90292,90008,91305,90025,90011
90293,90010,91306,90027,90012
90402,90011,91307,90028,90013
90405,90012,91309,90034,90014
90731,90013,91311,90035,90015
90732,90015,91316,90036,90017
90744,90016,91324,90038,90020
91042,90017,91325,90043,90021
,90018,91326,90045,90023
,90019,91331,90046,90026
,90020,91335,90047,90029
,90021,91340,90048,90031
,90023,91342,90049,90032
,90024,91343,90056,90033
,90025,91344,90064,90037
,90026,91345,90066,90039
,90027,91352,90067,90041
,90028,91356,90068,90042
,90029,91364,90069,90044
,90031,91367,90077,90057
,90032,91402,90094,90058
,90033,91405,90210,90059
,90034,91406,90212,90061
,90035,91411,90230,90062
,90036,91436,90232,90063
,90037,,90247,90065
,90038,,90248,91040
,90039,,90272,91042
,90041,,90275,91105
,90042,,90291,91205
,90043,,90292,91214
,90044,,90293,91302
,90046,,90402,91303
,90047,,90403,91304
,90048,,90405,91305
,90056,,90501,91306
,90057,,90710,91307
,90058,,90717,91309
,90059,,90731,91311
,90061,,90732,91316
,90062,,90744,91324
,90063,,,91325
,90064,,,91326
,90065,,,91330
,90068,,,91331
,90069,,,91335
,90077,,,91340
,90210,,,91342
,90212,,,91343
,90230,,,91344
,90232,,,91345
,90247,,,91352
,90248,,,91356
,90291,,,91364
,90293,,,91367
,90305,,,91401
,90501,,,91402
,90710,,,91403
,90717,,,91405
,90731,,,91406
,90744,,,91411
,91041,,,91423
,91401,,,91436
,91403,,,91504
,91423,,,91505
,91504,,,91601
,91505,,,91602
,91601,,,91604
,91602,,,91605
,91604,,,91606
,91605,,,91607
,91606,,,
,91607,,,
