Month,Total
Jul-03,131
Aug-03,97
Sep-03,170
Oct-03,153
Nov-03,151
Dec-03,279
Jan-04,219
Feb-04,120
Mar-04,155
Apr-04,125
May-04,130
Jun-04,179
Jul-04,110
Aug-04,166
Sep-04,138
Oct-04,153
Nov-04,135
Dec-04,181
Jan-05,182
Feb-05,121
Mar-05,126
Apr-05,117
May-05,88
Jun-05,101
Jul-05,152
Aug-05,129
Sep-05,150
Oct-05,123
Nov-05,119
Dec-05,183
Jan-06,196
Feb-06,119
Mar-06,136
Apr-06,94
May-06,94
Jun-06,90
Jul-06,89
Aug-06,138
Sep-06,113
Oct-06,125
Nov-06,175
Dec-06,346
Jan-07,511
Feb-07,112
Mar-07,127
Apr-07,114
May-07,96
Jun-07,84
Jul-07,117
Aug-07,111
Sep-07,138
Oct-07,136
Nov-07,89
Dec-07,121
Jan-08,143
Feb-08,115
Mar-08,97
Apr-08,78
May-08,90
Jun-08,127
Jul-08,148
Aug-08,125
Sep-08,127
Oct-08,108
Nov-08,106
Dec-08,180
Jan-09,143
Feb-09,125
Mar-09,88
Apr-09,86
May-09,75
Jun-09,111
Jul-09,130
Aug-09,125
Sep-09,183
Oct-09,134
Nov-09,111
Dec-09,192
Jan-10,131
Feb-10,142
Mar-10,105
Apr-10,70
May-10,53
Jun-10,78
Jul-10,98
Aug-10,103
Sep-10,108
Oct-10,94
Nov-10,101
Dec-10,151
Jan-11,197
Feb-11,79
Mar-11,110
Apr-11,53
May-11,62
Jun-11,80
Jul-11,121
Aug-11,100
Sep-11,104
Oct-11,93
Nov-11,124
Dec-11,253
Jan-12,174
Feb-12,89
Mar-12,70
Apr-12,62
May-12,64
Jun-12,67
Jul-12,61
Aug-12,96
Sep-12,93
Oct-12,89
Nov-12,103
Dec-12,148
Jan-13,184
Feb-13,86
Mar-13,69
Apr-13,60
May-13,79
Jun-13,79
Jul-13,98
Aug-13,96
Sep-13,101
Oct-13,114
Nov-13,102
Dec-13,145
Jan-14,119
Feb-14,85
Mar-14,81
