Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
The City of Los Angeles,262425,228535,0:01:32,221255,73.61%,68.62%
Citywide Services - The City of Los Angeles,52145,41858,0:01:12,8316,52.91%,32.42%
Job Seekers - The City of Los Angeles,33268,27012,0:02:11,4892,74.63%,48.36%
Search Results - The City of Los Angeles,27400,22538,0:00:39,651,51.77%,15.51%
City Job Opportunities - The City of Los Angeles,24310,20329,0:01:39,14140,65.42%,51.05%
City Government - The City of Los Angeles,23257,17394,0:00:37,1046,32.79%,15.83%
For Residents - The City of Los Angeles,15526,12540,0:00:38,655,52.98%,19.02%
For Visitors - The City of Los Angeles,12478,9772,0:00:52,350,62.29%,30.71%
Pay Parking Citation (Ticket) - The City of Los Angeles,11788,10134,0:02:38,9662,79.27%,76.96%
Error Handler - The City of Los Angeles,10583,8581,0:00:52,7310,49.58%,46.55%
Departments and Bureaus - The City of Los Angeles,9008,6660,0:02:50,1557,61.98%,53.77%
For Businesses - The City of Los Angeles,8647,6521,0:00:57,385,54.81%,26.25%
Council Directory - The City of Los Angeles,7377,5926,0:03:25,4090,74.23%,64.84%
LADWP Pay Bill Online - The City of Los Angeles,7064,5578,0:01:13,5388,56.37%,56.38%
Parking Enforcement - The City of Los Angeles,5722,4856,0:02:24,3811,67.49%,62.72%
Council and Committee Meetings - The City of Los Angeles,5348,4051,0:00:48,1537,26.09%,18.08%
City Directory - The City of Los Angeles,5142,4062,0:02:13,1019,70.26%,51.65%
Business Taxes & License - The City of Los Angeles,4520,3703,0:02:11,2907,57.31%,53.96%
Council Calendar - The City of Los Angeles,3972,3387,0:04:35,1760,75.11%,66.82%
Permits & Licenses - The City of Los Angeles,3471,2415,0:00:55,865,34.34%,21.67%
"City Charter, Rules, and Codes - The City of Los Angeles",3438,2500,0:02:34,1633,65.58%,57.13%
MyLA 311 Service Request - The City of Los Angeles,3336,2645,0:02:34,1138,70.47%,56.71%
Bulky Item Pick-up - The City of Los Angeles,3244,2970,0:03:17,2499,84.19%,80.02%
Payments - The City of Los Angeles,3167,2135,0:00:42,69,56.52%,34.92%
Impounded/Towed Vehicle - The City of Los Angeles,2848,2479,0:04:24,2291,80.14%,78.02%
Housing - The City of Los Angeles,2793,2258,0:01:49,1126,67.41%,46.87%
Council District 1 - The City of Los Angeles,2780,1803,0:01:30,1666,54.02%,44.96%
MyLA 311 - The City of Los Angeles,2651,2286,0:01:13,1786,44.06%,41.68%
Other Job Opportunities - The City of Los Angeles,2611,2370,0:02:08,236,65.68%,41.67%
Zoo General Admission Tickets - The City of Los Angeles,2363,2060,0:03:13,2043,83.41%,81.89%
Building Construction Permits - The City of Los Angeles,2207,1809,0:02:17,1351,58.33%,55.01%
Council Meeting Video - The City of Los Angeles,2118,1779,0:04:38,892,80.49%,69.07%
"Permits, Licenses, and Inspections - The City of Los Angeles",2079,1563,0:00:24,216,26.85%,10.29%
Council District 6 - The City of Los Angeles,2033,1221,0:01:04,1044,47.32%,38.07%
Records/Status Lookup - The City of Los Angeles,2027,1581,0:00:36,26,38.46%,11%
Apply for Section 8 Housing Assistance - The City of Los Angeles,1833,1566,0:03:25,1515,79.08%,77.74%
Planning and Zoning - The City of Los Angeles,1824,1321,0:00:55,738,35.77%,28.78%
Transportation & Parking - The City of Los Angeles,1718,1426,0:00:48,207,55.07%,22.12%
Sanitation & Recycling - The City of Los Angeles,1688,1424,0:00:55,332,57.23%,31.22%
Service Requests - The City of Los Angeles,1678,1354,0:00:37,29,27.59%,13.53%
Animal Services - The City of Los Angeles,1555,1207,0:01:24,868,58.41%,51.06%
Public Meetings - The City of Los Angeles,1547,1316,0:04:13,602,70.1%,61.34%
Official Police Garage Tow (OPG) - LAPD - The City of Los Angeles,1468,1294,0:04:11,1121,80.37%,78.07%
Replacement/Repair of Curbside Trash Containers - The City of Los Angeles,1434,1317,0:04:36,1248,87.58%,86.33%
Boards and Commissions - The City of Los Angeles,1336,1054,0:02:10,294,62.24%,42.96%
Abandoned Vehicles - The City of Los Angeles,1301,1196,0:04:41,1084,86.35%,83.94%
Council Committee Meeting Audio - The City of Los Angeles,1276,935,0:03:59,367,64.58%,56.19%
City Calendar - The City of Los Angeles,1251,1132,0:02:50,655,74.96%,59.39%
Police Auctions - The City of Los Angeles,1208,1082,0:02:48,1062,84.27%,82.86%
Blocked Driveways - The City of Los Angeles,1157,1034,0:05:36,928,84.7%,81.76%
Submit Feedback - The City of Los Angeles,1140,838,0:01:13,82,65.85%,24.21%
Employment Opportunities with the City - The City of Los Angeles,1084,937,0:01:52,455,45.27%,46.03%
Elected Official Offices - The City of Los Angeles,1023,797,0:01:00,163,67.48%,22.29%
Spark of Love Toy Drive - The City of Los Angeles,1006,923,0:03:27,912,90.35%,89.66%
Zoning Code Information - The City of Los Angeles,992,839,0:02:31,710,68.59%,66.23%
Utilities - The City of Los Angeles,923,758,0:00:39,287,53.66%,28.28%
Education and Personal Development - The City of Los Angeles,912,758,0:00:18,14,14.29%,8.88%
Pick Up Preferential Parking Permits - The City of Los Angeles,903,813,0:03:26,753,80.61%,80.29%
About the City Government - The City of Los Angeles,891,713,0:01:33,125,73.6%,28.51%
Site Map - The City of Los Angeles,866,686,0:00:58,15,73.33%,18.82%
City Council - The City of Los Angeles,861,692,0:00:51,156,40.38%,19.74%
Traffic Accidents/Collisions - LAPD - The City of Los Angeles,837,754,0:03:37,732,84.29%,83.27%
