Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Home | City of Los Angeles,157632,122060,0:01:00,112694,37.22%,37.53%
For Job Seekers | City of Los Angeles,53019,30299,0:01:49,7294,27.59%,36.98%
Search | City of Los Angeles,34888,27400,0:00:30,554,49.81%,12.55%
Latest City Job Opportunities | City of Los Angeles,32494,20367,0:01:45,13061,23.43%,40.4%
Page Not Found | City of Los Angeles,27832,22832,0:00:54,19426,52.09%,50.43%
City Government | City of Los Angeles,24540,19035,0:00:46,1464,23.25%,19.75%
Upcoming City Council Meetings | City of Los Angeles,23041,16926,0:00:40,4151,15.03%,15.16%
For Residents | City of Los Angeles,17654,14161,0:00:39,832,43.34%,21.11%
For Visitors | City of Los Angeles,16057,12971,0:01:06,637,48.87%,30.53%
For Businesses | City of Los Angeles,15959,11985,0:00:55,594,28.76%,26.99%
Pay Parking Citation (Ticket) | City of Los Angeles,15649,12625,0:02:53,12289,25.27%,71.11%
Council Directory | City of Los Angeles,9869,7480,0:03:14,5008,40.39%,55.51%
Departments and Bureaus | City of Los Angeles,8670,7324,0:04:51,2131,42.74%,61.52%
311 Directory Online Services | City of Los Angeles,8409,6868,0:00:38,625,32.9%,14.97%
City Directory | City of Los Angeles,8250,5438,0:02:07,1453,36.41%,43.56%
Business Taxes & License | City of Los Angeles,8071,6204,0:02:41,4310,37.72%,52.12%
"Business Tax, Registration, and License | City of Los Angeles",7671,5548,0:01:38,1843,22.5%,44.87%
City Calendar | City of Los Angeles,7534,5217,0:00:22,486,33.54%,10.88%
LADWP Pay Bill Online | City of Los Angeles,6963,5547,0:01:40,5228,46.24%,61.83%
Make a Payment | City of Los Angeles,6894,4483,0:00:50,62,36.67%,26.83%
The City of Los Angeles,5386,4323,0:01:06,4196,33.65%,35.09%
Open to All | City of Los Angeles,5156,3691,0:01:16,146,20%,42.73%
Upcoming City Government Events | City of Los Angeles,5120,3788,0:00:50,793,21.93%,15.27%
Search 3-1-1 Directory | City of Los Angeles,4879,3863,0:00:48,63,56.92%,15.31%
Parking Enforcement | City of Los Angeles,4648,3878,0:03:08,3582,66.92%,68.83%
Council and Committee Meetings | City of Los Angeles,4265,3412,0:00:56,2161,14.91%,29.64%
"City Charter, Rules, and Codes | City of Los Angeles",4024,3296,0:04:19,2154,17.51%,64.26%
Council District 6 - The City of Los Angeles,3766,2258,0:01:06,1992,50.18%,41.34%
MyLA 311 Service Request | City of Los Angeles,3530,3002,0:03:45,2015,67.32%,66.29%
Housing | City of Los Angeles,3435,2900,0:02:05,1610,42.51%,50.33%
Council District 1 - The City of Los Angeles,3386,2205,0:01:11,1893,52.85%,42.14%
Zoo General Admission Tickets | City of Los Angeles,3351,3046,0:06:08,3034,74.24%,88.45%
LA CITYVIEW 35 & CITYWIDE MEDIA | City of Los Angeles,3121,2220,0:01:37,97,41.41%,37.42%
Bulky Item Pick-up | City of Los Angeles,3086,2776,0:05:51,2505,56.69%,80.85%
Citywide Services - The City of Los Angeles,3054,2450,0:01:19,1263,47.9%,41.62%
Impounded/Towed Vehicle | City of Los Angeles,2916,2558,0:06:50,2476,51.65%,80.8%
Open to City Employees | City of Los Angeles,2863,1982,0:01:52,45,23.26%,45.3%
Apply For A Permit Or License | City of Los Angeles,2830,2113,0:01:42,779,30.88%,34.7%
Council Meeting Video | City of Los Angeles,2739,2357,0:05:49,1560,77.27%,75.06%
Job Seekers - The City of Los Angeles,2709,2268,0:02:13,558,77.24%,54.08%
"Lookup Status, Records, or Information | City of Los Angeles",2688,2036,0:01:05,46,52.08%,20.72%
Hiring and Employment Services | City of Los Angeles,2540,1890,0:00:47,47,48.89%,18.27%
Apply for Section 8 Housing Assistance | City of Los Angeles,2412,2106,0:06:01,2072,45.89%,81.55%
Housing & Community Investment Department (HCIDLA) Billing & Payments | City of Los Angeles,2225,1385,0:02:20,1330,17.14%,39.73%
Los Angeles City Council Agenda | City of Los Angeles,2161,1466,0:01:54,62,30.65%,33.41%
"Permits, Licenses, and Inspections | City of Los Angeles",2136,1662,0:00:26,204,34.31%,16.01%
Error Handler - The City of Los Angeles,2105,1691,0:01:19,1656,61.41%,61.95%
"Parks, Gardens, & Beaches | City of Los Angeles",2066,1695,0:01:07,72,45.21%,34.27%
Elected Official Offices | City of Los Angeles,1966,1639,0:01:36,520,36.64%,37.03%
Site map | City of Los Angeles,1955,1579,0:01:06,76,61.84%,21.89%
Building Construction Permits | City of Los Angeles,1925,1550,0:02:32,1357,37.55%,58.81%
Planning and Zoning | City of Los Angeles,1866,1435,0:00:59,878,31.82%,35.91%
Boards and Commissions | City of Los Angeles,1856,1565,0:03:33,347,24.93%,46.44%
Request for Services or Assistance | City of Los Angeles,1813,1431,0:01:27,44,36.36%,24.1%
Highlights | City of Los Angeles,1729,1504,0:00:47,141,74.29%,32.85%
Volunteer Opportunities | City of Los Angeles,1716,1262,0:01:38,532,46.47%,41.49%
MyLA 311 Smartphone Mobile Application | City of Los Angeles,1654,1456,0:02:12,1106,43.11%,57.8%
Upcoming Visitor Events | City of Los Angeles,1611,1346,0:00:12,8,62.5%,11.11%
Neighborhood Info | City of Los Angeles,1565,1405,0:01:15,137,75.74%,46.39%
Sanitation & Recycling | City of Los Angeles,1497,1299,0:01:16,432,51.49%,38.68%
Official Police Garage Tow (OPG) - LAPD | City of Los Angeles,1493,1275,0:06:17,1110,62.57%,77.76%
Tours | City of Los Angeles,1489,1213,0:01:12,28,42.42%,30.89%
Replacement/Repair of Curbside Trash Containers | City of Los Angeles,1479,1204,0:04:08,1163,43.88%,67.75%
Art & Culture | City of Los Angeles,1458,1236,0:00:54,34,52.94%,31.62%
"Information, Records & Archives | City of Los Angeles",1428,1094,0:01:50,446,39.96%,39.15%
Exempt (from Civil Service) Jobs | City of Los Angeles,1360,851,0:01:11,26,38.46%,33.38%
Submit Feedback | City of Los Angeles,1299,965,0:01:17,91,60.44%,26.25%
About the City Government | City of Los Angeles,1289,1072,0:01:29,149,44.67%,26.22%
Animal Services | City of Los Angeles,1261,1037,0:01:39,736,32.12%,53.61%
Employment Opportunities with the City | City of Los Angeles,1239,1095,0:02:04,435,32.81%,48.83%
Council Committee Meeting Audio | City of Los Angeles,1236,999,0:04:26,537,65.99%,63.11%
Part-Time & Temporary Jobs | City of Los Angeles,1210,880,0:00:29,24,36.36%,16.45%
Education and Personal Development | City of Los Angeles,1177,978,0:00:28,22,33.33%,14.53%
City Government - The City of Los Angeles,1152,907,0:00:36,21,23.81%,16.93%
Blocked Driveways | City of Los Angeles,1134,1006,0:08:33,950,65.76%,84.83%
Police Auctions | City of Los Angeles,1110,934,0:03:14,918,45.29%,78.11%
Zoning Code Information | City of Los Angeles,1095,868,0:03:30,687,37.77%,68.04%
Event Venues | City of Los Angeles,1082,912,0:01:10,39,40%,27.63%
Contact Us - The City of Los Angeles,1052,917,0:03:50,247,80.97%,67.87%
Other Job Opportunities | City of Los Angeles,1038,546,0:01:16,12,12.5%,22.45%
Search Results - The City of Los Angeles,982,787,0:01:06,18,55.56%,36.97%
