Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
The City of Los Angeles,144114,126026,87.86,122407,74.13%,69.27%
Home | City of Los Angeles,96268,73986,61.93,67410,37.56%,37.36%
For Job Seekers | City of Los Angeles,29291,17339,110.29,3826,33.32%,37.2%
Citywide Services - The City of Los Angeles,28728,22970,66.72,4940,53.34%,32.65%
Page Not Found | City of Los Angeles,26029,20605,54.78,17843,52.95%,51.79%
Search | City of Los Angeles,20758,16191,32.75,277,49.44%,12.97%
Job Seekers - The City of Los Angeles,18298,14890,128.36,2663,72.29%,46.72%
Latest City Job Opportunities | City of Los Angeles,16740,10589,98.46,6390,21.73%,38.64%
City Government | City of Los Angeles,16671,12709,42.94,1113,27.6%,20.81%
Search Results - The City of Los Angeles,15104,12340,39.24,366,55.19%,15.91%
Upcoming City Council Meetings | City of Los Angeles,12254,8325,18.64,1953,12.89%,8.25%
City Government - The City of Los Angeles,11837,8764,39.82,555,30.81%,15.83%
For Residents | City of Los Angeles,11629,9489,38.15,532,35.42%,19.82%
City Job Opportunities - The City of Los Angeles,10064,8326,75.28,4988,63.19%,44.53%
For Visitors | City of Los Angeles,9958,8100,62.35,344,48.77%,30.39%
For Businesses | City of Los Angeles,8809,6631,58.34,260,27.92%,27.21%
For Residents - The City of Los Angeles,8598,6926,36.78,399,50.63%,18.23%
For Visitors - The City of Los Angeles,7615,5916,48.89,285,62.11%,31.06%
Pay Parking Citation (Ticket) | City of Los Angeles,7568,6013,179.63,5836,25.81%,69.41%
Council Directory | City of Los Angeles,6751,5017,173.63,3575,40.41%,53.84%
Error Handler - The City of Los Angeles,6715,5451,56.13,4893,54.94%,52.79%
Pay Parking Citation (Ticket) - The City of Los Angeles,5631,4852,150.1,4622,78.58%,76.97%
311 Directory Online Services | City of Los Angeles,5431,4418,36.09,361,32.6%,14.56%
Departments and Bureaus | City of Los Angeles,5350,4580,293.51,1296,45.27%,63.07%
City Directory | City of Los Angeles,5203,3544,126.31,921,38.54%,44.72%
For Businesses - The City of Los Angeles,4922,3724,52.33,248,54.84%,25.36%
Departments and Bureaus - The City of Los Angeles,4716,3406,171.83,817,61.08%,52.23%
City Calendar | City of Los Angeles,4441,3192,22.45,302,38.41%,11.64%
Business Taxes & License | City of Los Angeles,4173,3150,155.6,2322,35.12%,49.39%
LADWP Pay Bill Online | City of Los Angeles,4014,3243,90.05,3068,46.62%,62.46%
Make a Payment | City of Los Angeles,3672,2414,51.93,32,32.26%,26.63%
Council Directory - The City of Los Angeles,3415,2735,205.5,1798,75.7%,63.25%
Council District 1 - The City of Los Angeles,3397,2207,81.48,1943,54.17%,43.89%
Upcoming City Government Events | City of Los Angeles,3378,2340,30.56,409,19.71%,9.15%
"Business Tax, Registration, and License | City of Los Angeles",3256,2420,100.1,732,26.59%,44.53%
Open to All | City of Los Angeles,3133,2220,68.24,140,22.7%,41.4%
Parking Enforcement | City of Los Angeles,3038,2483,138.57,2258,63.01%,65.01%
Council and Committee Meetings | City of Los Angeles,3004,2323,54.41,1332,17.19%,30.13%
Council District 6 - The City of Los Angeles,2884,1718,65.19,1482,46.89%,38.49%
Parking Enforcement - The City of Los Angeles,2819,2375,148.37,1898,66.91%,63.78%
Search 3-1-1 Directory | City of Los Angeles,2770,2288,54.27,34,60.61%,17.91%
"City Charter, Rules, and Codes | City of Los Angeles",2570,2082,257.29,1339,17.21%,64.05%
Business Taxes & License - The City of Los Angeles,2560,2109,127.31,1528,53.21%,50%
City Directory - The City of Los Angeles,2560,1982,148.79,473,67.86%,51.21%
Los Angeles City Council Agenda | City of Los Angeles,2413,1577,113.44,46,23.4%,28.01%
Council and Committee Meetings - The City of Los Angeles,2367,1683,46.13,593,25.3%,18.59%
Housing | City of Los Angeles,2337,1988,135.55,987,39.46%,48.1%
MyLA 311 Service Request | City of Los Angeles,2219,1818,198.53,1233,65.17%,63%
Bulky Item Pick-up | City of Los Angeles,2122,1883,288.26,1677,55.8%,80.07%
Zoo General Admission Tickets | City of Los Angeles,2104,1883,304.05,1875,73.26%,86.6%
LADWP Pay Bill Online - The City of Los Angeles,1953,1586,67.75,1523,61.06%,60.37%
Apply For A Permit Or License | City of Los Angeles,1939,1415,102.23,550,34.79%,36.31%
"City Charter, Rules, and Codes - The City of Los Angeles",1854,1339,141.05,878,64.24%,56.26%
Other Job Opportunities - The City of Los Angeles,1807,1632,144.72,178,68.54%,45.43%
Bulky Item Pick-up - The City of Los Angeles,1797,1664,182.85,1365,84.69%,80.13%
Permits & Licenses - The City of Los Angeles,1786,1226,52.06,394,34.01%,22.06%
MyLA 311 Service Request - The City of Los Angeles,1778,1383,148.87,709,69.25%,54.72%
Impounded/Towed Vehicle | City of Los Angeles,1734,1492,381.17,1449,48.91%,78.72%
Council Meeting Video | City of Los Angeles,1722,1333,282.47,878,69.97%,64.11%
Council Calendar - The City of Los Angeles,1698,1509,231.34,766,80.55%,67.9%
"Lookup Status, Records, or Information | City of Los Angeles",1687,1301,70.18,38,44.44%,21.58%
LA CITYVIEW 35 & CITYWIDE MEDIA | City of Los Angeles,1656,1129,111.21,38,38.64%,35.81%
Housing - The City of Los Angeles,1579,1250,112.79,622,63.34%,46.49%
Housing & Community Investment Department (HCIDLA) Billing & Payments | City of Los Angeles,1545,1020,159.66,977,13.78%,42.07%
Open to City Employees | City of Los Angeles,1532,1074,101.19,18,16.67%,43.02%
Zoo General Admission Tickets - The City of Los Angeles,1531,1354,196.01,1347,85.3%,84.39%
MyLA 311 Smartphone Mobile Application | City of Los Angeles,1504,1294,123.98,1037,40.42%,56.91%
Hiring and Employment Services | City of Los Angeles,1501,1134,52.01,24,56.52%,19.85%
Impounded/Towed Vehicle - The City of Los Angeles,1480,1270,319.45,1164,80.41%,77.36%
Payments - The City of Los Angeles,1470,992,73.56,50,42%,36.87%
Site map | City of Los Angeles,1405,1157,61.12,24,68%,21.42%
Building Construction Permits | City of Los Angeles,1389,1130,143.66,990,39.7%,60.62%
Apply for Section 8 Housing Assistance | City of Los Angeles,1380,1178,261.46,1157,47.76%,79.13%
