Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
The City of Los Angeles,297411,261424,89.02,253459,75.93%,71%
Citywide Services - The City of Los Angeles,55286,43986,73.48,8359,52.61%,31.57%
Job Seekers - The City of Los Angeles,34192,27474,117.05,4380,72.56%,44.26%
Search Results - The City of Los Angeles,25967,21533,47.66,619,55.09%,16.82%
City Government - The City of Los Angeles,24842,18430,37.16,1047,31.9%,15.77%
City Job Opportunities - The City of Los Angeles,21028,17320,79.54,10276,62.88%,44%
For Residents - The City of Los Angeles,17004,13704,42.92,718,49.3%,19.14%
For Visitors - The City of Los Angeles,13780,10704,53.07,400,63.25%,29.35%
Pay Parking Citation (Ticket) - The City of Los Angeles,13076,11156,149.02,10750,78.73%,76.45%
Error Handler - The City of Los Angeles,11242,9020,62.97,7828,52.76%,48.99%
Council Directory - The City of Los Angeles,10606,8555,193.24,6480,75.74%,67.02%
LADWP Pay Bill Online - The City of Los Angeles,10224,7995,68.02,7892,57.55%,58.32%
Departments and Bureaus - The City of Los Angeles,9183,6726,163.76,1696,63.33%,54.36%
For Businesses - The City of Los Angeles,8933,6663,57.22,413,63.68%,26%
Council and Committee Meetings - The City of Los Angeles,6379,4503,50.59,1829,24.93%,17.87%
Parking Enforcement - The City of Los Angeles,6120,5283,169.84,4579,70.58%,68.45%
City Directory - The City of Los Angeles,5154,4086,142.11,959,69.13%,51.9%
Business Taxes & License - The City of Los Angeles,4704,3693,138.28,3005,55.81%,52.02%
Payments - The City of Los Angeles,4261,2867,44.84,78,47.44%,36.19%
Council Calendar - The City of Los Angeles,4121,3609,247.79,1745,76.68%,67.29%
"City Charter, Rules, and Codes - The City of Los Angeles",3503,2615,151.58,1679,67.18%,58.06%
MyLA 311 Service Request - The City of Los Angeles,3352,2591,168.64,1062,70.9%,55.13%
Zoo General Admission Tickets - The City of Los Angeles,3343,2957,179.77,2928,84.67%,83.13%
Permits & Licenses - The City of Los Angeles,3193,2278,49.35,876,38.13%,25.59%
Other Job Opportunities - The City of Los Angeles,3088,2791,114.08,280,70.36%,41.16%
Bulky Item Pick-up - The City of Los Angeles,3049,2759,205.95,2285,82.54%,77.24%
Housing - The City of Los Angeles,2948,2356,97.85,1121,62.98%,44.81%
MyLA 311 - The City of Los Angeles,2769,2348,83.36,1845,41.08%,38.97%
Council District 1 - The City of Los Angeles,2721,1861,78.98,1729,54.37%,46.27%
Impounded/Towed Vehicle - The City of Los Angeles,2625,2308,270.9,2151,81.45%,79.01%
Building Construction Permits - The City of Los Angeles,2452,2001,126.58,1595,59.62%,55.79%
Council District 6 - The City of Los Angeles,2408,1480,59.59,1302,45.55%,38.66%
"Permits, Licenses, and Inspections - The City of Los Angeles",2396,1738,24.56,228,33.77%,9.22%
Apply for Section 8 Housing Assistance - The City of Los Angeles,2275,1962,182.85,1910,82.72%,79.12%
