Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
The City of Los Angeles,307957,267575,88.02,258751,74.18%,68.82%
Citywide Services - The City of Los Angeles,58963,46685,70.78,8527,51.55%,30.58%
Job Seekers - The City of Los Angeles,35416,28097,113.19,4258,72.59%,41.65%
Search Results - The City of Los Angeles,34271,28003,41.56,773,46.83%,14.62%
City Government - The City of Los Angeles,30974,22694,40.04,1358,33.43%,15.79%
City Job Opportunities - The City of Los Angeles,20681,17040,70.48,9424,59.38%,40.9%
For Residents - The City of Los Angeles,18411,14839,40.61,781,49.42%,19.03%
Pay Parking Citation (Ticket) - The City of Los Angeles,13093,11130,146.82,10731,79.22%,76.9%
For Visitors - The City of Los Angeles,13072,10259,55.47,417,57.31%,29.18%
Error Handler - The City of Los Angeles,12664,10379,51.36,9103,51.7%,50.04%
LADWP Pay Bill Online - The City of Los Angeles,11431,8891,65.86,8782,57.12%,57.9%
Departments and Bureaus - The City of Los Angeles,11046,8141,183.21,1902,58.78%,53.52%
Council Directory - The City of Los Angeles,10585,8218,198.08,5575,69.4%,60.42%
For Businesses - The City of Los Angeles,9973,7421,52.34,457,56.02%,25.52%
Council and Committee Meetings - The City of Los Angeles,8544,6178,48.94,2543,24.58%,17.57%
City Directory - The City of Los Angeles,6107,4721,139.08,1094,67.73%,50.86%
Parking Enforcement - The City of Los Angeles,5595,4820,188.53,4149,72.81%,69.71%
Council Calendar - The City of Los Angeles,5498,4740,300.08,2241,74.83%,66.06%
Business Taxes & License - The City of Los Angeles,4454,3477,137.8,2724,55.91%,52.16%
"City Charter, Rules, and Codes - The City of Los Angeles",4426,3206,158.59,1942,65.09%,54.95%
Other Job Opportunities - The City of Los Angeles,4122,3685,121.64,338,64.2%,39.33%
Permits & Licenses - The City of Los Angeles,4025,2838,45.49,1053,38.65%,24.47%
Payments - The City of Los Angeles,3963,2754,42.69,85,57.65%,37.29%
Council Meeting Video - The City of Los Angeles,3960,3045,258.75,1429,79.78%,64.62%
Zoo General Admission Tickets - The City of Los Angeles,3960,3446,227.84,3430,84.23%,83.21%
Council District 1 - The City of Los Angeles,3885,2529,96.81,2357,52.74%,44.71%
MyLA 311 Service Request - The City of Los Angeles,3709,2805,148.43,1088,66.73%,51.2%
Bulky Item Pick-up - The City of Los Angeles,3695,3331,219.57,2792,83.42%,79.35%
Housing - The City of Los Angeles,3588,2830,99.32,1394,59.68%,44.76%
Apply for Section 8 Housing Assistance - The City of Los Angeles,3454,2962,200.49,2880,80.73%,79.21%
Impounded/Towed Vehicle - The City of Los Angeles,3138,2713,285.99,2565,80.86%,78.87%
