Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
The City of Los Angeles,285583,246820,0:01:29,238345,73.14%,67.88%
Citywide Services - The City of Los Angeles,64292,50778,0:01:08,8961,51.1%,30.51%
Job Seekers - The City of Los Angeles,34876,27194,0:01:32,3482,65.22%,35.24%
Search Results - The City of Los Angeles,31659,25857,0:00:40,702,45.44%,14.65%
City Government - The City of Los Angeles,28866,21071,0:00:40,1282,29.49%,15.86%
City Job Opportunities - The City of Los Angeles,24100,19314,0:00:54,10808,42.77%,34.27%
For Residents - The City of Los Angeles,17809,14339,0:00:42,910,39.89%,18.88%
Error Handler - The City of Los Angeles,12302,9938,0:00:57,8659,50.12%,48.54%
For Visitors - The City of Los Angeles,12158,9464,0:00:53,386,58.03%,29.26%
Departments and Bureaus - The City of Los Angeles,10586,7768,0:02:54,1893,58.85%,53.53%
Council Directory - The City of Los Angeles,10108,7856,0:03:20,5297,71.12%,61.14%
LADWP Pay Bill Online - The City of Los Angeles,10031,7728,0:01:16,7558,56.72%,56.95%
For Businesses - The City of Los Angeles,9095,6877,0:00:51,488,52.46%,25.49%
Council and Committee Meetings - The City of Los Angeles,7197,5164,0:00:47,2079,24.68%,17.87%
Other Job Opportunities - The City of Los Angeles,6747,5979,0:01:48,415,74.7%,40.71%
City Directory - The City of Los Angeles,5627,4434,0:02:05,1026,64.91%,51.82%
Council Calendar - The City of Los Angeles,5044,4298,0:05:16,2101,76.68%,67.17%
Parking Enforcement - The City of Los Angeles,4907,4237,0:02:49,3670,73.79%,70.31%
Parking Citation - Pay - The City of Los Angeles,4400,3556,0:01:40,3422,70.51%,70.84%
"City Charter, Rules, and Codes - The City of Los Angeles",4391,3195,0:02:45,2016,67.36%,57.3%
Payments - The City of Los Angeles,4390,2962,0:00:45,82,62.2%,32.19%
Zoo General Admission Tickets - The City of Los Angeles,4160,3644,0:03:32,3622,85.31%,84.33%
Business Taxes & License - The City of Los Angeles,4037,3249,0:02:04,2400,48.67%,46.74%
Pay Parking Citation (Ticket) - The City of Los Angeles,3989,3364,0:02:22,3211,76.83%,75.18%
Housing - The City of Los Angeles,3797,3045,0:01:56,1642,63.4%,48.2%
Bulky Item Pick-up - The City of Los Angeles,3754,3380,0:03:29,2811,82.46%,77.52%
