Agency Name,WorkSource (WSC) Name,Street Address,City,Zip,WSC Phone,Program Director ,Program Director Phone
"Arbor E&T, LLC dba ResCare Workforce Services",Canoga Park-West Hills WSC,"21010 Vanowen St.
Canoga Park 91303
(34.19374366100044, -118.59094886499969)",Canoga Park,91303,(818) 596-4448,Marcos Serpas,(818) 267-3373
"Arbor E&T, LLC dba Rescare Workforce Services",Northeast LA WSC,"3825 N Mission Rd.
Los Angeles 90031
(34.069942067000454, -118.19945057599972)",Los Angeles,90031,(323) 352-5100,Elena Quintana,(323) 352-5100
"Arbor E&T, LLC dba ResCare Workforce Services",Van Nuys-North Sherman Oaks WSC,"15400 Sherman Way, #140
Van Nuys 91406
(34.20109292300049, -118.46823929799967)",Van Nuys,91406,(818) 781-2522,Marcos Serpas,(818) 267-3373
Build Rehabilitation Industries,Chatsworth-Northridge WSC,"9207 Eton Ave.
Chatsworth 91311
(34.23803939500044, -118.59429955999968)",Chatsworth,91311,(818) 701-9800,Leonel Fuentes,(818) 701-9800
"Community Career Development, Inc.",Wilshire-Metro WSC,"3550 Wilshire Blvd., # 500
Los Angeles 90010
(34.061703314000454, -118.30220994999968)",Los Angeles,90010,(213) 365-9829,Gloria Moore,(213) 805-4273
"Community Centers, Inc.",South LA WSC,"7518-7526 S Vermont Ave.
Los Angeles 90044
(33.91642132400045, -118.2918393699997)",Los Angeles,90044,(323) 752-2115,Phil Barajas,(323) 752-2115
"Chicana Service Action Center, Inc.",Downtown WSC,"315 W. 9th St., #101
Los Angeles 90015
(34.04322534100049, -118.25743334599969)",Los Angeles,90015,(213) 629-5800,Sophia Esparza,(213) 629-5800
"Chicana Service Action Center, Inc.",South LA WorkSource Portal,"6200 S. Broadway
Los Angeles 90003
(33.983020619000456, -118.27826592599968)",Los Angeles,90003,(323) 752-4044,Sophia Esparza,(213) 629-5800
Chinatown Service Center,Chinatown WSC,"767 N. Hill St., #400
Los Angeles 90012
(34.06252411000048, -118.23972760799973)",Los Angeles,90012,(213) 808-1761,Angelica Martin,(213) 808-1769
City of Long Beach (as Administering Entity for Pacific Gateway Workforce Investment Network),Harbor WSC,"1851 N. Gaffey St., #F
San Pedro 90731
(33.76148261500049, -118.29302435199969)",San Pedro,90731,(800) 292-7200,Cherie Gomez,(562) 570-4715
"El Proyecto del Barrio, Inc.",Sun Valley WSC,"9024 Laurel Canyon Blvd.
Sun Valley 91352
(34.23340243100046, -118.40519909799968)",Sun Valley,91352,(818) 504-0334,Magdalena Duran,(818) 504-0334
Goodwill Industries of Southern California,Metro North LA WSC,"342 San Fernando Rd.
Los Angeles 90031
(34.07764380800046, -118.22327468099968)",Los Angeles,90031,(323) 539-2000,Sergio Perez,(323) 539-2048
Housing Authority of City of Los Angeles,Housing Authority WorkSource Portal,"2220 E. 114th St.
Los Angeles 90059
(33.93145676800049, -118.23331672999967)",Los Angeles,90059,(323) 249-7751,Dan Aguilar,(323) 249-7751
Jewish Vocational Services,Marina Del Rey-Mar Vista WSC,"13160 Mindanao Way, #240
Marina Del Rey 90292
(33.98539536000044, -118.43732147099968)",Marina Del Rey,90292,(310) 309-6000,Donald Perry,(310) 309-6000
Los Angeles Urban League,West Adams-Baldwin Hills WSC,"5681 W. Jefferson Blvd.
Los Angeles 90016
(34.026551242000494, -118.37151579699969)",Los Angeles,90016,(323) 525-3740,Kuliema Blueford,(323) 525-2255
"Managed Career Solutions, Inc.",Hollywood WSC,"4311 Melrose Ave.
Los Angeles 90029
(34.08363289300047, -118.2943531249997)",Los Angeles,90029,(323) 454-6100,Margo Scoble,(323) 454-6103
Pacific Asian Consortium in Employment,Westlake WSC,"1055 Wilshire Blvd., #900A
Los Angeles 90017
(34.05212617900048, -118.26276792699969)",Los Angeles,90017,(213) 353-1677,Johnson Ng,(213) 207-1388
UAW - Labor Employment and Training Corporation,Southeast LA-Crenshaw WSC,"3965 S. Vermont Ave.
Los Angeles 90037
(34.01258805700047, -118.29157078599968)",Los Angeles,90037,(323) 730-7900,Henryetta Andrade,(323) 730-7900
Watts Labor Community Action Committee,Southeast LA-Watts WSC,"10950 S. Central Ave.
Los Angeles 90059
(33.93578306700044, -118.25417415099969)",Los Angeles,90059,(323) 563-4702,Elton Blake,(323) 563-5683
