Agency Name,Street Address,City,Zip,YSC Phone
AYE/Catholic Charities Wilshire Office (Central),"3250 Wilshire Blvd., Ste. 1010",Los Angeles,90010,(213) 736-5456
AYE / Catholic Charities (South),3965 S Vermont Ave.,Los Angeles,90037,(323) 730-7900
YOM Technology Center (Boyle Heights),1600 E 4th St.,Los Angeles,90033,(323) 526-0145
Youth Opportunity Movement (Watts),1501 E 103rd St.,Los Angeles,90002,(323) 971-7640
El Proyecto Del Barrio (North Valley),9030 Laurel Canyon Blvd.,Sun Valley,91352,(818) 771-0184
El Proyecto Del Barrio (South Valley),20800 Sherman Way,Los Angeles,91306,(818) 710-5239
Brotherhood Crusade (South),5414 S Crenshaw Bl.,Los Angeles,90043,(323) 545-1130
Los Angeles Harbor College (Harbor),1111 Figueroa Pl.,Wilmington,90744,(310) 233-4097 
Para Los Ninos (East),838 E 6th St.,Los Angeles,90021,(213) 623-8446
UCLA (Central),501 South Bixel Ave.,Los Angeles,90017,(213) 202-5327
Watts Labor Community Action Center (South),958 E 108th St.,Los Angeles,90059,(323) 563-5634
Youth Policy Institute (North Valley) ,11844 Glenoaks Bl.,San Fernando,91340,(818) 361-7108 
