ZONE_CMPLT,ZONE_CLASS,ZONE_CODE,ZC1,ZC2,ZC3,ZC4,MAX_HGT_STRY,MAX_HGT_FT,HD1,HD2,HD3,HD4,SUD1,SUD2,SUD3,SUD4,SUD5,SUD6,SUD7,SUD8,SUD9,SUD10,SUD11,HPOZ,FD2,SUD12,SUD13,SUD14,SUD15,SUD16,SUD17,SUD18,SUD19,SUD20
PF-O,PF,801,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Q]C2-1VL-SN,C2,606,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PF-1-O,PF,801,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(T)(Q)C4-2D,C4,608,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C4-1D,C4,608,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[Q]R2-1L-CDO,R2,401,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2-1-K,A2,202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4-1XL-SN,C4,608,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
R2-1-HPOZ,R2,401,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QC1-2D,C1,603,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(T)(Q)RD1.5-1-K,RD1.5,402,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
